Environment,DLiSA-0.3_Mean,DLiSA-II_Mean,Wilcoxon_p,A12,Label
jpeg-large,1.8494,1.8809,0.00032980569964926893,0.6455,1
jpeg-medium,1.1147,1.1322,0.2795421824982556,0.54375,0
jpeg-small,0.375,0.3773,0.01675327642615617,0.58865,1
png-large,1.6048,1.6175,0.05920280945132834,0.5760000000000001,0
png-medium,0.5032,0.509,0.01614081804145529,0.5961000000000001,1
png-small,0.376,0.38260000000000005,0.0002866811091927469,0.64135,1
psd-large,17.365500000000004,17.753500000000003,0.10904917527801473,0.5653,0
psd-medium,1.0323,1.044,0.003777113515499731,0.61675,1
psd-small,0.47269999999999995,0.47530000000000006,0.16990472362867548,0.5548500000000001,0
svg-large,1.4383999999999997,1.4395999999999998,0.40255439317842834,0.53245,0
svg-medium,1.4439,1.4466999999999997,0.4152647161272628,0.5327500000000001,0
svg-small,0.48660000000000003,0.4881000000000001,0.11773047365544533,0.55915,0
