Workload,Algorithm,Mean (Std),$\hat{A}_{12}$ ($p$ value)
ambivert,DLiSA-0.3,0.986 (0.866),
ambivert,DLiSA-I,2.148 (3.514),0.682 ($p$ < 0.001)
ambivert,DLiSA-II,1.227 (1.142),0.587 (0.034)
artificl,DLiSA-0.3,0.131 (0.032),
artificl,DLiSA-I,0.158 (0.049),0.68 ($p$ < 0.001)
artificl,DLiSA-II,0.146 (0.039),0.618 (0.003)
deepfield,DLiSA-0.3,0.308 (0.129),
deepfield,DLiSA-I,0.527 (0.94),0.579 (0.054)
deepfield,DLiSA-II,0.312 (0.208),0.529 (0.47)
enwik8,DLiSA-0.3,1.173 (0.697),
enwik8,DLiSA-I,2.601 (3.114),0.702 ($p$ < 0.001)
enwik8,DLiSA-II,1.603 (1.173),0.619 (0.004)
fannie_mae_500k,DLiSA-0.3,0.938 (0.604),
fannie_mae_500k,DLiSA-I,1.589 (1.446),0.708 ($p$ < 0.001)
fannie_mae_500k,DLiSA-II,1.194 (0.881),0.593 (0.023)
large,DLiSA-0.3,0.433 (0.263),
large,DLiSA-I,0.647 (0.536),0.644 ($p$ < 0.001)
large,DLiSA-II,0.514 (0.402),0.521 (0.616)
misc,DLiSA-0.3,0.177 (0.078),
misc,DLiSA-I,0.234 (0.155),0.637 (0.001)
misc,DLiSA-II,0.188 (0.075),0.568 (0.093)
silesia,DLiSA-0.3,2.347 (2.228),
silesia,DLiSA-I,5.643 (9.41),0.69 ($p$ < 0.001)
silesia,DLiSA-II,3.203 (3.692),0.593 (0.024)
vmlinux,DLiSA-0.3,0.709 (0.585),
vmlinux,DLiSA-I,1.402 (2.631),0.67 ($p$ < 0.001)
vmlinux,DLiSA-II,0.851 (0.621),0.595 (0.021)
