Environment,DLiSA-0.3_Mean,DLiSA-I_Mean,Wilcoxon_p,A12,Label
corona,0.9072000000000002,0.9138000000000001,0.00409271182241359,0.6049,1
cranium,1.3376000000000006,1.3424000000000005,0.023396769243167356,0.58115,1
cubus,4.1961,4.2094000000000005,0.0040719025515898455,0.6115999999999999,1
flame,1.1930999999999998,1.1974999999999998,0.14008309076734493,0.55625,0
france,2.4045,2.4106000000000005,0.02346587918230375,0.5811,1
frisco,3.1519000000000004,3.1602000000000006,0.2242530314908826,0.54455,0
jelly,1.1373999999999997,1.1393999999999997,0.3498065397384904,0.5321,0
karte,7.076299999999999,7.089899999999999,0.21711611855942214,0.54715,0
mandelbrot,1.0506000000000002,1.0504000000000004,0.7304515081850607,0.5133,0
strawberry,1.117,1.1165999999999998,0.3599152820401271,0.5298499999999999,0
village,1.628,1.6405,0.0063875078790359245,0.6,1
