Environment,DLiSA-0.3_Mean,DLiSA-I_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.1354,3.1325,0.19564909503303418,0.54875,0
artificl.tar,0.03,0.03,1.0,0.5,0
deepfield.tar,3.3051999999999997,3.31,0.014664551305130854,0.5855,1
enwik8.tar,7.1594,7.190999999999999,0.017232630916048496,0.57175,1
fannie_mae_500k.tar,33.4212,33.4006,0.9441751533576591,0.50225,0
large.tar,0.9710000000000001,0.9725000000000001,0.07940655453560774,0.5419499999999999,0
misc.tar,0.19220000000000004,0.19360000000000002,0.029657588196685108,0.5700000000000001,1
silesia.tar,10.907300000000005,10.916800000000006,0.01567242440173157,0.57405,1
uiq-32.bin,9.1967,9.2315,0.4435355843642733,0.5287,0
uiq2-16.bin,5.357999999999999,5.458799999999999,0.00551216158404087,0.58925,1
uiq2-4.bin,2.0893,2.0946000000000007,0.7339496710767025,0.5123500000000001,0
uiq2-8.bin,3.4770000000000003,3.4836,0.8114404722129159,0.5089,0
vmlinux-5.10.tar,2.5298000000000003,2.5303999999999998,0.6915218429869702,0.5131,0
