Environment,DLiSA-0.3_Mean,DLiSA-I_Mean,Wilcoxon_p,A12,Label
ambivert,0.9862999999999998,2.148260516147729,8.38639323406917e-06,0.6823,1
artificl,0.13149999999999998,0.1582,7.40720505634383e-06,0.68035,1
deepfield,0.308,0.527,0.053896573527203236,0.57855,0
enwik8,1.1733,2.6008,7.464550116468866e-07,0.7025,1
fannie_mae_500k,0.9381,1.5889000000000002,3.4886416426237823e-07,0.7083999999999999,1
large,0.43309999999999993,0.6465000000000001,0.00045030124883606917,0.6435500000000001,1
misc,0.17709999999999998,0.23431097060276773,0.0008062619394580793,0.63655,1
silesia,2.3472000000000004,5.643361405303789,3.3827997326549186e-06,0.69015,1
vmlinux,0.7087,1.4021601648030801,3.274877799170505e-05,0.66995,1
