Workload,Algorithm,Mean (Std),$\hat{A}_{12}$ ($p$ value)
corona,DLiSA-0.3,0.907 (0.014),
corona,DLiSA-I,0.914 (0.029),0.605 (0.004)
corona,DLiSA-II,0.925 (0.043),0.631 ($p$ < 0.001)
cranium,DLiSA-0.3,1.338 (0.019),
cranium,DLiSA-I,1.342 (0.021),0.581 (0.023)
cranium,DLiSA-II,1.348 (0.026),0.617 (0.001)
cubus,DLiSA-0.3,4.196 (0.056),
cubus,DLiSA-I,4.209 (0.071),0.612 (0.004)
cubus,DLiSA-II,4.247 (0.123),0.691 ($p$ < 0.001)
flame,DLiSA-0.3,1.193 (0.026),
flame,DLiSA-I,1.197 (0.022),0.556 (0.14)
flame,DLiSA-II,1.204 (0.027),0.624 (0.001)
france,DLiSA-0.3,2.404 (0.036),
france,DLiSA-I,2.411 (0.037),0.581 (0.023)
france,DLiSA-II,2.432 (0.057),0.662 ($p$ < 0.001)
frisco,DLiSA-0.3,3.152 (0.042),
frisco,DLiSA-I,3.16 (0.052),0.545 (0.224)
frisco,DLiSA-II,3.182 (0.081),0.615 (0.002)
jelly,DLiSA-0.3,1.137 (0.016),
jelly,DLiSA-I,1.139 (0.022),0.532 (0.35)
jelly,DLiSA-II,1.146 (0.027),0.626 (0.001)
karte,DLiSA-0.3,7.076 (0.077),
karte,DLiSA-I,7.09 (0.111),0.547 (0.217)
karte,DLiSA-II,7.151 (0.193),0.648 ($p$ < 0.001)
mandelbrot,DLiSA-0.3,1.051 (0.014),
mandelbrot,DLiSA-I,1.05 (0.013),0.513 (0.73)
mandelbrot,DLiSA-II,1.057 (0.018),0.625 (0.001)
strawberry,DLiSA-0.3,1.117 (0.017),
strawberry,DLiSA-I,1.117 (0.012),0.53 (0.36)
strawberry,DLiSA-II,1.12 (0.017),0.553 (0.11)
village,DLiSA-0.3,1.628 (0.038),
village,DLiSA-I,1.64 (0.049),0.6 (0.006)
village,DLiSA-II,1.65 (0.052),0.632 ($p$ < 0.001)
