Workload,Algorithm,Mean (Std),$\hat{A}_{12}$ ($p$ value)
ambivert.wav.tar,DLiSA-0.3,3.693 (0.772),
ambivert.wav.tar,DLiSA-I,5.958 (3.322),0.809 ($p$ < 0.001)
ambivert.wav.tar,DLiSA-II,3.954 (1.016),0.615 (0.005)
artificl.tar,DLiSA-0.3,0.012 (0.004),
artificl.tar,DLiSA-I,0.017 (0.007),0.688 ($p$ < 0.001)
artificl.tar,DLiSA-II,0.012 (0.004),0.525 (0.374)
deepfield.tar,DLiSA-0.3,3.582 (0.65),
deepfield.tar,DLiSA-I,5.619 (2.737),0.776 ($p$ < 0.001)
deepfield.tar,DLiSA-II,3.786 (0.882),0.576 (0.063)
enwik8.tar,DLiSA-0.3,11.001 (3.132),
enwik8.tar,DLiSA-I,18.954 (15.539),0.785 ($p$ < 0.001)
enwik8.tar,DLiSA-II,11.113 (2.941),0.528 (0.5)
fannie_mae_500k.tar,DLiSA-0.3,10.406 (2.39),
fannie_mae_500k.tar,DLiSA-I,16.746 (8.99),0.809 ($p$ < 0.001)
fannie_mae_500k.tar,DLiSA-II,11.48 (3.324),0.592 (0.025)
large.tar,DLiSA-0.3,1.552 (0.41),
large.tar,DLiSA-I,2.749 (1.397),0.85 ($p$ < 0.001)
large.tar,DLiSA-II,1.75 (0.457),0.646 ($p$ < 0.001)
misc.tar,DLiSA-0.3,0.193 (0.01),
misc.tar,DLiSA-I,0.23 (0.047),0.828 ($p$ < 0.001)
misc.tar,DLiSA-II,0.201 (0.018),0.62 (0.002)
silesia.tar,DLiSA-0.3,22.957 (5.456),
silesia.tar,DLiSA-I,34.327 (14.209),0.775 ($p$ < 0.001)
silesia.tar,DLiSA-II,24.631 (7.13),0.556 (0.174)
uiq-32.bin,DLiSA-0.3,20.05 (4.127),
uiq-32.bin,DLiSA-I,35.576 (29.394),0.811 ($p$ < 0.001)
uiq-32.bin,DLiSA-II,21.464 (5.679),0.572 (0.079)
uiq2-16.bin,DLiSA-0.3,10.28 (2.502),
uiq2-16.bin,DLiSA-I,16.846 (10.21),0.811 ($p$ < 0.001)
uiq2-16.bin,DLiSA-II,10.978 (3.135),0.566 (0.109)
uiq2-4.bin,DLiSA-0.3,2.604 (0.539),
uiq2-4.bin,DLiSA-I,3.957 (1.9),0.782 ($p$ < 0.001)
uiq2-4.bin,DLiSA-II,2.858 (0.832),0.586 (0.035)
uiq2-8.bin,DLiSA-0.3,5.132 (1.234),
uiq2-8.bin,DLiSA-I,9.175 (6.526),0.83 ($p$ < 0.001)
uiq2-8.bin,DLiSA-II,5.678 (1.753),0.588 (0.032)
vmlinux-5.10.tar,DLiSA-0.3,2.84 (0.573),
vmlinux-5.10.tar,DLiSA-I,4.112 (1.645),0.774 ($p$ < 0.001)
vmlinux-5.10.tar,DLiSA-II,3.123 (0.856),0.586 (0.036)
