Environment,DLiSA-0.3_Mean,DLiSA-II_Mean,Wilcoxon_p,A12,Label
corona,0.9072000000000002,0.9252000000000001,0.00032507890833499486,0.6314500000000001,1
cranium,1.3376000000000006,1.3476,0.001240932836333333,0.61745,1
cubus,4.1961,4.247000000000001,1.155923278686673e-06,0.69145,1
flame,1.1930999999999998,1.2044,0.0014704999952020465,0.62355,1
france,2.4045,2.4324,1.2495689418197122e-05,0.6622,1
frisco,3.1519000000000004,3.1822,0.002192521109457145,0.6152,1
jelly,1.1373999999999997,1.1461,0.0005470582334799139,0.6265000000000001,1
karte,7.076299999999999,7.1514999999999995,0.00015342653328440653,0.64805,1
mandelbrot,1.0506000000000002,1.0569000000000002,0.0013918750100950573,0.6251,1
strawberry,1.117,1.1197,0.11038740230087447,0.55295,0
village,1.628,1.6501,0.0003457561870031903,0.6321,1
