Environment,DLiSA-0.3_Mean,DLiSA-II_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.693399999999999,3.9540999999999995,0.004745881440261424,0.6154999999999999,1
artificl.tar,0.011700000000000002,0.012199999999999999,0.3743550026589809,0.525,0
deepfield.tar,3.5816000000000003,3.7856999999999994,0.06296475877993578,0.5761000000000001,0
enwik8.tar,11.000800000000002,11.1131,0.5000125928967365,0.52765,0
fannie_mae_500k.tar,10.406299999999998,11.479599999999996,0.024684955657939985,0.59195,1
large.tar,1.5521999999999998,1.7502000000000002,0.0003548286235976683,0.64605,1
misc.tar,0.19349999999999998,0.2009,0.0019719726685159876,0.61965,1
silesia.tar,22.957400000000007,24.630600000000005,0.1742374654031531,0.55565,0
uiq-32.bin,20.049699999999994,21.463799999999996,0.07910859488257108,0.5719000000000001,0
uiq2-16.bin,10.279599999999999,10.978499999999999,0.108880322264989,0.56565,0
uiq2-4.bin,2.6038,2.8579000000000003,0.03450457280346987,0.5865,1
uiq2-8.bin,5.1317,5.6777,0.03156210475555489,0.5880000000000001,1
vmlinux-5.10.tar,2.840099999999999,3.1226,0.03555614279898987,0.5860000000000001,1
