Environment,DLiSA-0.3_Mean,DLiSA-I_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.693399999999999,5.957582457052726,3.928392552634782e-14,0.80945,1
artificl.tar,0.011700000000000002,0.016743207625013495,4.1367271601936803e-08,0.68775,1
deepfield.tar,3.5816000000000003,5.619060834219648,1.4690905634773955e-11,0.77625,1
enwik8.tar,11.000800000000002,18.954221664897926,3.3323615867913553e-12,0.785,1
fannie_mae_500k.tar,10.406299999999998,16.746321662484032,4.59702362590782e-14,0.8087,1
large.tar,1.5521999999999998,2.7494185808047127,1.2956472482154542e-17,0.8495,1
misc.tar,0.19349999999999998,0.23002338246031698,1.649383611693098e-16,0.82755,1
silesia.tar,22.957400000000007,34.327000000000005,1.9467632304702032e-11,0.7746500000000001,1
uiq-32.bin,20.049699999999994,35.57598467065196,3.200955616419164e-14,0.81065,1
uiq2-16.bin,10.279599999999999,16.845712792619935,2.9996244869116066e-14,0.8109999999999999,1
uiq2-4.bin,2.6038,3.9574210047907235,5.615878528964127e-12,0.7819,1
uiq2-8.bin,5.1317,9.175102169970188,7.878481139641674e-16,0.8297,1
vmlinux-5.10.tar,2.840099999999999,4.112135460376047,2.280449931465913e-11,0.7736000000000001,1
