Environment,DLiSA-0.3_Mean,DLiSA-I_Mean,Wilcoxon_p,A12,Label
jpeg-large,1.8494,1.8811999999999998,0.0006231201711573365,0.63835,1
jpeg-medium,1.1147,1.1277000000000001,0.5522273191964217,0.52405,0
jpeg-small,0.375,0.3759,0.1823059943938583,0.5482,0
png-large,1.6048,1.6110999999999998,0.2234164781631106,0.5488,0
png-medium,0.5032,0.5055,0.30417545304953597,0.5408,0
png-small,0.376,0.3790999999999999,0.04110392683334632,0.5794,1
psd-large,17.365500000000004,17.5816,0.10257226907953579,0.5665,0
psd-medium,1.0323,1.0397999999999998,0.08096571814408476,0.5704,0
psd-small,0.47269999999999995,0.47559999999999997,0.09759821698677433,0.5657,0
svg-large,1.4383999999999997,1.4400999999999997,0.16475353366213485,0.5537000000000001,0
svg-medium,1.4439,1.4472999999999998,0.1711768212499809,0.55495,0
svg-small,0.48660000000000003,0.4875,0.5606695991929421,0.5221,0
