Environment,DLiSA-0.3_Mean,DLiSA-I_Mean,Wilcoxon_p,A12,Label
Johnny_1280x720_60_short.y4m,0.8902999999999999,1.0696,0.0003014919131701987,0.6476999999999999,1
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,3.590299999999999,4.130199999999999,9.130574906052106e-05,0.66015,1
blue_sky_1080p25_short.y4m,1.2862,1.4657999999999998,0.00013898531179341815,0.6557999999999999,1
pedestrian_area_1080p25_short.y4m,1.5859999999999999,1.9354,5.135285059973557e-05,0.6657,1
riverbed_1080p25_short.y4m,3.2221,3.6697,9.989491215701644e-05,0.65925,1
sd_bridge_close_cif_short.y4m,0.0996,0.11470000000000001,2.63006939355841e-06,0.6873,1
sd_city_4cif_short.y4m,0.5724999999999999,0.6685,0.00013041615010665774,0.65625,1
sd_crew_cif_short.y4m,0.13280000000000006,0.16639999999999996,7.68702406054708e-05,0.65845,1
sintel_trailer_2k_720p24_short.y4m,0.24009999999999998,0.25849999999999995,0.00010418303396047999,0.65675,1
