Environment,DLiSA-0.3_Mean,DLiSA-II_Mean,Wilcoxon_p,A12,Label
ambivert.wav.tar,3.1354,3.1517,0.8265111619898016,0.5084500000000001,0
artificl.tar,0.03,0.0301,0.3221741190216618,0.505,0
deepfield.tar,3.3051999999999997,3.3118000000000007,0.0018501444058506783,0.6107,1
enwik8.tar,7.1594,7.1892000000000005,0.014286809309394442,0.5791999999999999,1
fannie_mae_500k.tar,33.4212,33.42009999999999,0.5243598401994063,0.5195,0
large.tar,0.9710000000000001,0.9731000000000001,0.04717683901331494,0.54825,0
misc.tar,0.19220000000000004,0.19440000000000002,0.0029397314674306754,0.5983,1
silesia.tar,10.907300000000005,10.927300000000004,0.008621642827512144,0.5811,1
uiq-32.bin,9.1967,9.304499999999999,0.2679952545484535,0.54315,0
uiq2-16.bin,5.357999999999999,5.4803999999999995,0.0032879911927501493,0.5951500000000001,1
uiq2-4.bin,2.0893,2.1041,0.0800033211192499,0.56475,0
uiq2-8.bin,3.4770000000000003,3.4827999999999997,0.6950614933533216,0.5146,0
vmlinux-5.10.tar,2.5298000000000003,2.5322,0.2648510780832447,0.5377000000000001,0
