Environment,DLiSA-0.3_Mean,DLiSA-II_Mean,Wilcoxon_p,A12,Label
Johnny_1280x720_60_short.y4m,0.9326999999999999,0.9411000000000002,0.42733407013682534,0.5325,0
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,3.4959999999999996,3.6366,0.06308136250318627,0.5761000000000001,0
blue_sky_1080p25_short.y4m,1.3133000000000001,1.3335000000000001,0.20573262474250176,0.5518000000000001,0
pedestrian_area_1080p25_short.y4m,1.6130000000000004,1.6832000000000005,0.03043428388901721,0.58855,1
riverbed_1080p25_short.y4m,3.1849000000000003,3.2563,0.408627778369793,0.5338499999999999,0
sd_bridge_close_cif_short.y4m,0.10019999999999998,0.1024,0.1235933360459889,0.5609999999999999,0
sd_city_4cif_short.y4m,0.5887,0.5889,0.4950009181218169,0.5279,0
sd_crew_cif_short.y4m,0.1368,0.1388,0.9223743425353127,0.5038,0
sintel_trailer_2k_720p24_short.y4m,0.24710000000000004,0.2506,0.7321366751930438,0.5139,0
