Workload,Algorithm,Mean (Std),$\hat{A}_{12}$ ($p$ value)
jpeg-large,DLiSA-0.3,1.849 (0.105),
jpeg-large,DLiSA-I,1.881 (0.13),0.638 (0.001)
jpeg-large,DLiSA-II,1.881 (0.117),0.646 ($p$ < 0.001)
jpeg-medium,DLiSA-0.3,1.115 (0.049),
jpeg-medium,DLiSA-I,1.128 (0.078),0.524 (0.552)
jpeg-medium,DLiSA-II,1.132 (0.081),0.544 (0.28)
jpeg-small,DLiSA-0.3,0.375 (0.008),
jpeg-small,DLiSA-I,0.376 (0.007),0.548 (0.182)
jpeg-small,DLiSA-II,0.377 (0.008),0.589 (0.017)
png-large,DLiSA-0.3,1.605 (0.067),
png-large,DLiSA-I,1.611 (0.072),0.549 (0.223)
png-large,DLiSA-II,1.618 (0.075),0.576 (0.059)
png-medium,DLiSA-0.3,0.503 (0.019),
png-medium,DLiSA-I,0.505 (0.021),0.541 (0.304)
png-medium,DLiSA-II,0.509 (0.02),0.596 (0.016)
png-small,DLiSA-0.3,0.376 (0.011),
png-small,DLiSA-I,0.379 (0.011),0.579 (0.041)
png-small,DLiSA-II,0.383 (0.013),0.641 ($p$ < 0.001)
psd-large,DLiSA-0.3,17.366 (2.734),
psd-large,DLiSA-I,17.582 (3.134),0.566 (0.103)
psd-large,DLiSA-II,17.754 (3.067),0.565 (0.109)
psd-medium,DLiSA-0.3,1.032 (0.027),
psd-medium,DLiSA-I,1.04 (0.032),0.57 (0.081)
psd-medium,DLiSA-II,1.044 (0.033),0.617 (0.004)
psd-small,DLiSA-0.3,0.473 (0.014),
psd-small,DLiSA-I,0.476 (0.014),0.566 (0.098)
psd-small,DLiSA-II,0.475 (0.016),0.555 (0.17)
svg-large,DLiSA-0.3,1.438 (0.009),
svg-large,DLiSA-I,1.44 (0.01),0.554 (0.165)
svg-large,DLiSA-II,1.44 (0.011),0.532 (0.403)
svg-medium,DLiSA-0.3,1.444 (0.019),
svg-medium,DLiSA-I,1.447 (0.017),0.555 (0.171)
svg-medium,DLiSA-II,1.447 (0.018),0.533 (0.415)
svg-small,DLiSA-0.3,0.487 (0.007),
svg-small,DLiSA-I,0.488 (0.01),0.522 (0.561)
svg-small,DLiSA-II,0.488 (0.008),0.559 (0.118)
