workload,baseline_b,baseline_T,compared_m,s,label
jpeg-large,80,1.8437000000000003,,-1.0,-1
jpeg-medium,80,1.1178000000000006,80.0,1.0,0
jpeg-small,80,0.37560000000000004,80.0,1.0,0
png-large,80,1.6030999999999995,,-1.0,-1
png-medium,80,0.5028000000000001,,-1.0,-1
png-small,80,0.37609999999999993,80.0,1.0,0
psd-large,80,17.26900000000002,,-1.0,-1
psd-medium,80,1.0321000000000005,,-1.0,-1
psd-small,80,0.4738999999999997,80.0,1.0,0
svg-large,80,1.4403000000000004,80.0,1.0,0
svg-medium,80,1.4455999999999998,60.0,1.3333333333333333,1
svg-small,80,0.48729999999999946,80.0,1.0,0
