workload,baseline_b,baseline_T,compared_m,s,label
corona,80,0.9529000000000003,37,2.1621621621621623,1
cranium,80,1.3798,38,2.1052631578947367,1
cubus,80,4.326300000000002,37,2.1621621621621623,1
flame,80,1.2326,38,2.1052631578947367,1
france,80,2.4917,38,2.1052631578947367,1
frisco,80,3.3226000000000018,37,2.1621621621621623,1
jelly,80,1.1698000000000002,38,2.1052631578947367,1
karte,80,7.249099999999998,39,2.051282051282051,1
mandelbrot,80,1.0682999999999996,39,2.051282051282051,1
strawberry,80,1.1447999999999998,40,2.0,1
village,80,1.6933999999999998,39,2.051282051282051,1
