workload,baseline_b,baseline_T,compared_m,s,label
Johnny_1280x720_60_short.y4m,80,2.1327536797933067,37,2.1621621621621623,1
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,80,7.860963478845139,37,2.1621621621621623,1
blue_sky_1080p25_short.y4m,80,3.3472857245116088,36,2.2222222222222223,1
pedestrian_area_1080p25_short.y4m,80,3.8399645253007337,37,2.1621621621621623,1
riverbed_1080p25_short.y4m,80,7.59467574363919,36,2.2222222222222223,1
sd_bridge_close_cif_short.y4m,80,0.19265360037880425,36,2.2222222222222223,1
sd_city_4cif_short.y4m,80,1.406266189583645,37,2.1621621621621623,1
sd_crew_cif_short.y4m,80,0.2729546569170597,37,2.1621621621621623,1
sintel_trailer_2k_720p24_short.y4m,80,0.516642992380832,36,2.2222222222222223,1
