workload,baseline_b,baseline_T,compared_m,s,label
ambivert,80,1.3860000000000001,40,2.0,1
artificl,80,0.1467999999999999,40,2.0,1
deepfield,80,0.6587000000000002,39,2.051282051282051,1
enwik8,80,1.9631000000000012,39,2.051282051282051,1
fannie_mae_500k,80,1.3618000000000001,40,2.0,1
large,80,0.5813999999999999,40,2.0,1
misc,80,0.21240000000000003,40,2.0,1
silesia,80,4.001699999999999,39,2.051282051282051,1
vmlinux,80,0.9119999999999996,40,2.0,1
