workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,3.2052999999999994,40,2.0,1
artificl.tar,80,0.030699999999999953,38,2.1052631578947367,1
deepfield.tar,80,3.3360000000000003,39,2.051282051282051,1
enwik8.tar,80,7.229099999999995,40,2.0,1
fannie_mae_500k.tar,80,33.68670000000001,39,2.051282051282051,1
large.tar,80,0.9778999999999992,40,2.0,1
misc.tar,80,0.19889999999999974,40,2.0,1
silesia.tar,80,10.946500000000007,40,2.0,1
uiq-32.bin,80,9.461800000000016,40,2.0,1
uiq2-16.bin,80,5.577099999999996,39,2.051282051282051,1
uiq2-4.bin,80,2.144900000000001,40,2.0,1
uiq2-8.bin,80,3.5927999999999987,40,2.0,1
vmlinux-5.10.tar,80,2.5526000000000026,40,2.0,1
