workload,baseline_b,baseline_T,compared_m,s,label
smallbank-1,80,26395.457284433138,40,2.0,1
smallbank-10,80,18573.351704334513,40,2.0,1
tpcc-2,80,943.274717384533,60,1.3333333333333333,1
tpcc-8,80,1012.4748962677883,40,2.0,1
voter-16,80,47332.76514109803,40,2.0,1
voter-2,80,47446.10442764354,40,2.0,1
ycsb-2400,80,19979.515938505818,80,1.0,0
ycsb-600,80,27973.092109166053,60,1.3333333333333333,1
