workload,baseline_b,baseline_T,compared_m,s,label
jpeg-large,80,1.8921000000000012,40.0,2.0,1
jpeg-medium,80,1.1259000000000006,60.0,1.3333333333333333,1
jpeg-small,80,0.3774,40.0,2.0,1
png-large,80,1.621599999999999,40.0,2.0,1
png-medium,80,0.5048000000000004,60.0,1.3333333333333333,1
png-small,80,0.3757000000000001,,-1.0,-1
psd-large,80,18.33290000000001,39.0,2.051282051282051,1
psd-medium,80,1.0391000000000004,40.0,2.0,1
psd-small,80,0.47709999999999986,40.0,2.0,1
svg-large,80,1.441300000000001,60.0,1.3333333333333333,1
svg-medium,80,1.447399999999999,60.0,1.3333333333333333,1
svg-small,80,0.48879999999999973,40.0,2.0,1
