workload,baseline_b,baseline_T,compared_m,s,label
corona,80,0.9115000000000009,60.0,1.3333333333333333,1
cranium,80,1.3405,80.0,1.0,0
cubus,80,4.199000000000001,80.0,1.0,0
flame,80,1.1947,80.0,1.0,0
france,80,2.412999999999996,60.0,1.3333333333333333,1
frisco,80,3.1582000000000003,60.0,1.3333333333333333,1
jelly,80,1.1364999999999994,,-1.0,-1
karte,80,7.0839999999999925,80.0,1.0,0
mandelbrot,80,1.0493000000000001,,-1.0,-1
strawberry,80,1.1171999999999995,80.0,1.0,0
village,80,1.6296000000000015,80.0,1.0,0
