workload,baseline_b,baseline_T,compared_m,s,label
AUFNIRA_z3.637557.smt2,80,5.880500000000007,60.0,1.3333333333333333,1
LRA_formula_277.smt2,80,1.7695999999999992,,-1.0,-1
QF_AUFBV_891_sqlite3.smt2,80,0.6288999999999993,60.0,1.3333333333333333,1
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,80,2.3745000000000007,80.0,1.0,0
QF_BV_bench_3176.smt2,80,3.3392999999999984,40.0,2.0,1
QF_BV_bench_935.smt2,80,1.4061999999999997,40.0,2.0,1
QF_LIA_tightrhombus,80,0.2781999999999997,,-1.0,-1
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,80,8.7507,40.0,2.0,1
QF_NRA_hong_9.smt2,80,3.1841000000000026,40.0,2.0,1
QF_RDL_orb08_888.smt2,80,6.795400000000002,,-1.0,-1
QF_UFLIA_xs_23_43.smt2,80,8.247700000000004,60.0,1.3333333333333333,1
QF_UF_PEQ018_size6.smt2,80,3.9890999999999948,40.0,2.0,1
