workload,baseline_b,baseline_T,compared_m,s,label
corona,80,0.9155000000000009,40.0,2.0,1
cranium,80,1.3447000000000002,60.0,1.3333333333333333,1
cubus,80,4.206099999999996,80.0,1.0,0
flame,80,1.199999999999999,60.0,1.3333333333333333,1
france,80,2.4196999999999966,40.0,2.0,1
frisco,80,3.1697000000000006,40.0,2.0,1
jelly,80,1.1390999999999993,80.0,1.0,0
karte,80,7.0947999999999976,80.0,1.0,0
mandelbrot,80,1.0490000000000006,,-1.0,-1
strawberry,80,1.1196000000000002,80.0,1.0,0
village,80,1.6361000000000017,60.0,1.3333333333333333,1
