workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,4.485799999999999,40,2.0,1
artificl.tar,80,0.01300000000000001,40,2.0,1
deepfield.tar,80,4.5426,40,2.0,1
enwik8.tar,80,13.132400000000008,40,2.0,1
fannie_mae_500k.tar,80,13.815000000000003,40,2.0,1
large.tar,80,2.077,39,2.051282051282051,1
misc.tar,80,0.20569999999999994,40,2.0,1
silesia.tar,80,28.968600000000006,39,2.051282051282051,1
uiq-32.bin,80,26.330299999999994,39,2.051282051282051,1
uiq2-16.bin,80,12.878099999999995,40,2.0,1
uiq2-4.bin,80,3.1900000000000004,40,2.0,1
uiq2-8.bin,80,6.540899999999998,39,2.051282051282051,1
vmlinux-5.10.tar,80,3.553899999999999,39,2.051282051282051,1
