workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,4.730600000000001,39,2.051282051282051,1
artificl.tar,80,0.01390000000000001,40,2.0,1
deepfield.tar,80,4.5848,39,2.051282051282051,1
enwik8.tar,80,13.918199999999997,39,2.051282051282051,1
fannie_mae_500k.tar,80,14.627699999999999,39,2.051282051282051,1
large.tar,80,1.9390999999999985,40,2.0,1
misc.tar,80,0.21339999999999995,39,2.051282051282051,1
silesia.tar,80,30.72920000000001,39,2.051282051282051,1
uiq-32.bin,80,26.671599999999998,39,2.051282051282051,1
uiq2-16.bin,80,12.376800000000001,39,2.051282051282051,1
uiq2-4.bin,80,3.4128000000000007,39,2.051282051282051,1
uiq2-8.bin,80,7.020799999999997,39,2.051282051282051,1
vmlinux-5.10.tar,80,3.7034000000000002,39,2.051282051282051,1
