workload,baseline_b,baseline_T,compared_m,s,label
AUFNIRA_z3.637557.smt2,80,5.898000000000008,40.0,2.0,1
LRA_formula_277.smt2,80,2.463400000000001,60.0,1.3333333333333333,1
QF_AUFBV_891_sqlite3.smt2,80,0.41739999999999955,80.0,1.0,0
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,80,2.4218000000000006,40.0,2.0,1
QF_BV_bench_3176.smt2,80,3.1804000000000006,60.0,1.3333333333333333,1
QF_BV_bench_935.smt2,80,1.3296000000000014,80.0,1.0,0
QF_LIA_tightrhombus,80,0.32049999999999945,60.0,1.3333333333333333,1
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,80,8.747300000000003,60.0,1.3333333333333333,1
QF_NRA_hong_9.smt2,80,3.1811000000000043,,-1.0,-1
QF_RDL_orb08_888.smt2,80,6.822000000000003,80.0,1.0,0
QF_UFLIA_xs_23_43.smt2,80,8.410300000000005,40.0,2.0,1
QF_UF_PEQ018_size6.smt2,80,3.889699999999998,60.0,1.3333333333333333,1
