workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,4.923760552004313,39,2.051282051282051,1
artificl.tar,80,0.015400000000000011,39,2.051282051282051,1
deepfield.tar,80,4.641399999999999,39,2.051282051282051,1
enwik8.tar,80,14.171410261418414,39,2.051282051282051,1
fannie_mae_500k.tar,80,14.018300000000004,39,2.051282051282051,1
large.tar,80,2.0529610771768385,39,2.051282051282051,1
misc.tar,80,0.21381127370270192,39,2.051282051282051,1
silesia.tar,80,29.976700000000008,39,2.051282051282051,1
uiq-32.bin,80,27.837962049844794,39,2.051282051282051,1
uiq2-16.bin,80,13.191199999999998,39,2.051282051282051,1
uiq2-4.bin,80,3.3108,40,2.0,1
uiq2-8.bin,80,6.566599999999999,39,2.051282051282051,1
vmlinux-5.10.tar,80,3.6120118153715124,39,2.051282051282051,1
