workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,3.131500000000001,,-1.0,-1
artificl.tar,80,0.02999999999999995,40.0,2.0,1
deepfield.tar,80,3.3115000000000037,40.0,2.0,1
enwik8.tar,80,7.169699999999994,60.0,1.3333333333333333,1
fannie_mae_500k.tar,80,33.39699999999999,,-1.0,-1
large.tar,80,0.970399999999999,,-1.0,-1
misc.tar,80,0.19219999999999998,,-1.0,-1
silesia.tar,80,10.908499999999993,80.0,1.0,0
uiq-32.bin,80,9.278600000000015,40.0,2.0,1
uiq2-16.bin,80,5.42859999999999,60.0,1.3333333333333333,1
uiq2-4.bin,80,2.0939000000000028,60.0,1.3333333333333333,1
uiq2-8.bin,80,3.4884999999999975,80.0,1.0,0
vmlinux-5.10.tar,80,2.527200000000004,,-1.0,-1
