workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,3.1359,80,1.0,0
artificl.tar,80,0.02999999999999995,40,2.0,1
deepfield.tar,80,3.3087000000000035,60,1.3333333333333333,1
enwik8.tar,80,7.171199999999991,60,1.3333333333333333,1
fannie_mae_500k.tar,80,33.423899999999996,60,1.3333333333333333,1
large.tar,80,0.9721999999999993,60,1.3333333333333333,1
misc.tar,80,0.19310000000000002,40,2.0,1
silesia.tar,80,10.919099999999997,40,2.0,1
uiq-32.bin,80,9.358000000000018,40,2.0,1
uiq2-16.bin,80,5.398499999999991,80,1.0,0
uiq2-4.bin,80,2.0930000000000026,80,1.0,0
uiq2-8.bin,80,3.5013999999999954,60,1.3333333333333333,1
vmlinux-5.10.tar,80,2.533800000000003,60,1.3333333333333333,1
