workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,3.1334999999999997,,-1.0,-1
artificl.tar,60,0.02999999999999995,40.0,1.5,1
deepfield.tar,80,3.304100000000005,,-1.0,-1
enwik8.tar,80,7.165199999999998,60.0,1.3333333333333333,1
fannie_mae_500k.tar,80,33.39549999999999,,-1.0,-1
large.tar,80,0.9707999999999992,,-1.0,-1
misc.tar,80,0.1918,,-1.0,-1
silesia.tar,80,10.910299999999996,80.0,1.0,0
uiq-32.bin,80,9.17980000000001,,-1.0,-1
uiq2-16.bin,60,5.357999999999989,80.0,0.75,999
uiq2-4.bin,80,2.0921000000000034,80.0,1.0,0
uiq2-8.bin,80,3.474299999999996,,-1.0,-1
vmlinux-5.10.tar,80,2.528800000000004,,-1.0,-1
