workload,baseline_b,baseline_T,compared_m,s,label
ambivert,80,1.3461,40,2.0,1
artificl,80,0.143,40,2.0,1
deepfield,80,0.4578000000000003,39,2.051282051282051,1
enwik8,80,1.8505000000000011,39,2.051282051282051,1
fannie_mae_500k,80,1.2807000000000002,40,2.0,1
large,80,0.5283999999999996,40,2.0,1
misc,80,0.20980000000000015,40,2.0,1
silesia,80,3.8687000000000022,40,2.0,1
vmlinux,80,0.8521999999999993,40,2.0,1
