workload,baseline_b,baseline_T,compared_m,s,label
jpeg-large,80,1.8670999999999995,40.0,2.0,1
jpeg-medium,80,1.119900000000001,80.0,1.0,0
jpeg-small,80,0.37499999999999994,,-1.0,-1
png-large,80,1.608,80.0,1.0,0
png-medium,80,0.5023000000000003,,-1.0,-1
png-small,80,0.37509999999999993,,-1.0,-1
psd-large,80,17.484700000000014,80.0,1.0,0
psd-medium,80,1.030200000000001,,-1.0,-1
psd-small,80,0.4737999999999996,80.0,1.0,0
svg-large,80,1.4394000000000002,80.0,1.0,0
svg-medium,80,1.4422000000000006,,-1.0,-1
svg-small,80,0.4866999999999997,80.0,1.0,0
