workload,baseline_b,baseline_T,compared_m,s,label
ambivert.wav.tar,80,4.636200000000001,39,2.051282051282051,1
artificl.tar,80,0.01320000000000001,40,2.0,1
deepfield.tar,80,4.5585,40,2.0,1
enwik8.tar,80,13.132999999999997,40,2.0,1
fannie_mae_500k.tar,80,13.657100000000003,40,2.0,1
large.tar,80,1.9262000000000001,40,2.0,1
misc.tar,80,0.20489999999999992,40,2.0,1
silesia.tar,80,28.61649999999999,40,2.0,1
uiq-32.bin,80,25.6395,39,2.051282051282051,1
uiq2-16.bin,80,12.952299999999994,40,2.0,1
uiq2-4.bin,80,3.2544,40,2.0,1
uiq2-8.bin,80,6.3267999999999995,40,2.0,1
vmlinux-5.10.tar,80,3.4401999999999986,40,2.0,1
