workload,baseline_b,baseline_T,compared_m,s,label
jpeg-large,80,1.9524999999999997,38,2.1052631578947367,1
jpeg-medium,80,1.1861000000000004,39,2.051282051282051,1
jpeg-small,80,0.38370000000000026,39,2.051282051282051,1
png-large,80,1.656900000000001,39,2.051282051282051,1
png-medium,80,0.5221000000000003,39,2.051282051282051,1
png-small,80,0.39089999999999997,39,2.051282051282051,1
psd-large,80,19.0154,38,2.1052631578947367,1
psd-medium,80,1.057,39,2.051282051282051,1
psd-small,80,0.4912,39,2.051282051282051,1
svg-large,80,1.4410999999999998,60,1.3333333333333333,1
svg-medium,80,1.4645000000000004,39,2.051282051282051,1
svg-small,80,0.4897999999999999,40,2.0,1
