encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,11.38
0,1,0,0,1,0,0,0,0,0,0,3.96
0,0,1,0,0,0,0,0,0,0,0,8.26
0,0,0,1,0,0,0,0,0,0,0,8.57
0,0,0,0,1,0,0,0,0,0,0,1.04
0,0,0,0,0,1,0,0,0,0,0,1.02
0,0,0,0,0,0,1,0,0,0,0,3.98
0,0,0,0,0,0,1,1,0,0,0,3.97
0,0,1,0,0,0,0,0,1,0,0,3.98
0,0,1,0,0,0,0,0,0,1,0,4.0
0,0,0,0,1,0,0,0,0,0,1,1.65
0,1,0,0,0,1,0,1,1,1,0,8.44
1,0,0,0,0,0,1,1,1,1,0,3.98
1,1,0,0,0,1,0,1,1,1,0,1.03
1,1,0,0,0,0,1,1,1,1,0,1.02
1,1,1,0,0,0,0,1,1,1,0,1.7
1,1,0,1,0,0,0,1,1,1,0,1.02
1,1,0,0,1,0,0,1,1,1,0,1.64
1,1,1,0,0,0,0,0,1,1,0,5.11
1,1,1,0,0,0,0,1,0,1,0,1.01
1,1,0,1,0,0,0,1,1,0,0,1.02
1,1,0,1,0,0,0,0,1,1,0,3.98
1,1,1,0,0,0,0,0,0,0,0,5.17
1,0,1,0,0,0,0,0,0,0,0,4.0
1,0,0,1,0,0,0,0,0,0,0,3.96
1,0,0,0,0,1,0,0,0,0,0,0.98
1,0,0,0,0,0,1,0,0,0,0,8.46
1,0,0,1,0,0,0,1,0,0,0,3.99
1,0,0,1,0,0,0,0,1,0,0,1.03
1,0,0,1,0,0,0,0,0,1,0,5.19
1,0,0,0,1,0,0,0,0,0,1,3.99
0,1,1,0,0,0,0,0,0,0,0,2.29
0,1,0,1,0,0,0,0,0,0,0,0.97
0,1,0,0,0,1,0,0,0,0,0,1.03
0,1,0,0,0,0,1,0,0,0,0,0.99
0,1,0,1,0,0,0,1,0,0,0,5.21
