encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,87.35
0,1,0,0,1,0,0,0,0,0,0,6.77
0,0,1,0,0,0,0,0,0,0,0,27.53
0,0,0,1,0,0,0,0,0,0,0,85.86
0,0,0,0,1,0,0,0,0,0,0,3.55
0,0,0,0,0,1,0,0,0,0,0,3.16
0,0,0,0,0,0,1,0,0,0,0,6.76
0,0,0,0,0,0,1,1,0,0,0,6.8
0,0,1,0,0,0,0,0,1,0,0,6.81
0,0,1,0,0,0,0,0,0,1,0,6.77
0,0,0,0,1,0,0,0,0,0,1,7.39
0,1,0,0,0,1,0,1,1,1,0,82.99
1,0,0,0,0,0,1,1,1,1,0,6.79
1,1,0,0,0,1,0,1,1,1,0,3.5
1,1,0,0,0,0,1,1,1,1,0,3.5
1,1,1,0,0,0,0,1,1,1,0,4.83
1,1,0,1,0,0,0,1,1,1,0,3.49
1,1,0,0,1,0,0,1,1,1,0,4.47
1,1,1,0,0,0,0,0,1,1,0,7.92
1,1,1,0,0,0,0,1,0,1,0,3.51
1,1,0,1,0,0,0,1,1,0,0,3.52
1,1,0,1,0,0,0,0,1,1,0,6.77
1,1,1,0,0,0,0,0,0,0,0,7.69
1,0,1,0,0,0,0,0,0,0,0,6.76
1,0,0,1,0,0,0,0,0,0,0,6.76
1,0,0,0,0,1,0,0,0,0,0,3.48
1,0,0,0,0,0,1,0,0,0,0,71.45
1,0,0,1,0,0,0,1,0,0,0,6.77
1,0,0,1,0,0,0,0,1,0,0,3.44
1,0,0,1,0,0,0,0,0,1,0,7.68
1,0,0,0,1,0,0,0,0,0,1,6.78
0,1,1,0,0,0,0,0,0,0,0,5.09
0,1,0,1,0,0,0,0,0,0,0,3.41
0,1,0,0,0,1,0,0,0,0,0,3.5
0,1,0,0,0,0,1,0,0,0,0,3.49
0,1,0,1,0,0,0,1,0,0,0,8.35
0,1,0,1,0,0,0,0,1,0,0,7.04
0,1,0,0,1,0,0,0,0,1,0,7.06
0,1,0,0,1,0,0,0,0,0,1,3.49
0,0,1,0,0,0,0,1,0,0,0,6.74
0,0,0,1,0,0,0,1,0,0,0,4.53
0,0,0,1,0,0,0,0,1,0,0,6.78
0,0,0,1,0,0,0,0,0,1,0,4.68
0,0,0,0,1,0,0,1,0,0,0,8.03
0,0,0,0,1,0,0,0,1,0,0,5.08
0,0,0,0,1,0,0,0,0,1,0,33.76
0,0,0,0,0,1,0,1,0,0,0,6.79
0,0,0,0,0,1,0,0,1,0,0,8.34
0,0,0,0,0,1,0,0,0,1,0,5.06
0,0,0,0,0,0,1,0,1,0,0,10.64
0,0,0,0,0,0,1,0,0,1,0,6.78
0,0,0,1,0,0,0,1,1,0,0,3.13
0,0,1,0,0,0,0,1,0,1,0,7.67
0,0,0,0,1,0,0,1,0,0,1,6.87
0,0,0,0,1,0,0,0,1,1,1,4.88
0,0,0,0,1,0,0,0,1,0,1,4.81
0,0,0,0,1,0,0,0,0,1,1,3.17
0,0,0,0,0,0,1,1,1,1,0,10.63
0,1,0,0,0,0,1,1,1,1,0,7.53
0,1,0,0,1,0,0,1,1,1,0,6.78
0,1,1,0,0,0,0,1,1,1,0,8.27
0,1,0,1,0,0,0,1,1,1,0,8.05
0,1,0,0,1,0,0,1,1,1,1,86.19
0,1,0,0,0,1,0,0,1,1,0,10.43
0,1,0,0,0,1,0,1,0,1,0,3.53
0,1,0,0,1,0,0,1,1,0,1,10.61
1,0,0,0,1,0,0,1,1,1,0,90.69
1,0,0,1,0,0,0,1,1,1,0,3.48
1,0,0,0,1,0,0,1,1,1,1,32.17
1,0,0,0,0,1,0,1,1,1,0,4.81
1,0,0,0,1,0,0,0,1,1,1,27.02
1,0,0,0,0,0,1,1,0,1,0,6.77
1,0,0,1,0,0,0,1,1,0,0,4.38
1,0,1,0,0,0,0,1,1,1,0,3.49
1,1,0,0,1,0,0,0,1,1,0,20.47
1,1,0,0,0,1,0,1,0,1,0,6.81
