encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,230.29
0,1,0,0,1,0,0,0,0,0,0,13.52
0,0,1,0,0,0,0,0,0,0,0,179.0
0,0,0,1,0,0,0,0,0,0,0,314.98
0,0,0,0,1,0,0,0,0,0,0,10.73
0,0,0,0,0,1,0,0,0,0,0,10.72
0,0,0,0,0,0,1,0,0,0,0,14.91
0,0,0,0,0,0,1,1,0,0,0,14.64
0,0,1,0,0,0,0,0,1,0,0,14.92
0,0,1,0,0,0,0,0,0,1,0,14.65
0,0,0,0,1,0,0,0,0,0,1,25.18
0,1,0,0,0,1,0,1,1,1,0,226.32
1,0,0,0,0,0,1,1,1,1,0,13.51
1,1,0,0,0,1,0,1,1,1,0,10.28
1,1,0,0,0,0,1,1,1,1,0,10.74
1,1,1,0,0,0,0,1,1,1,0,15.19
1,1,0,1,0,0,0,1,1,1,0,10.17
1,1,0,0,1,0,0,1,1,1,0,15.24
1,1,1,0,0,0,0,0,1,1,0,19.0
1,1,1,0,0,0,0,1,0,1,0,10.16
1,1,0,1,0,0,0,1,1,0,0,10.27
1,1,0,1,0,0,0,0,1,1,0,13.76
1,1,1,0,0,0,0,0,0,0,0,18.68
1,0,1,0,0,0,0,0,0,0,0,14.68
1,0,0,1,0,0,0,0,0,0,0,14.93
1,0,0,0,0,1,0,0,0,0,0,10.16
1,0,0,0,0,0,1,0,0,0,0,313.74
1,0,0,1,0,0,0,1,0,0,0,14.46
1,0,0,1,0,0,0,0,1,0,0,9.33
1,0,0,1,0,0,0,0,0,1,0,18.49
1,0,0,0,1,0,0,0,0,0,1,14.69
0,1,1,0,0,0,0,0,0,0,0,23.69
0,1,0,1,0,0,0,0,0,0,0,10.13
0,1,0,0,0,1,0,0,0,0,0,10.72
0,1,0,0,0,0,1,0,0,0,0,10.17
0,1,0,1,0,0,0,1,0,0,0,28.02
0,1,0,1,0,0,0,0,1,0,0,13.54
0,1,0,0,1,0,0,0,0,1,0,13.55
