encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,1,0,0,0,0,0,0,107.2
0,1,0,0,1,0,0,0,0,0,0,10.75
0,0,1,0,0,0,0,0,0,0,0,60.51
0,0,0,1,0,0,0,0,0,0,0,87.43
0,0,0,0,1,0,0,0,0,0,0,8.28
0,0,0,0,0,1,0,0,0,0,0,7.43
0,0,0,0,0,0,1,0,0,0,0,11.58
0,0,0,0,0,0,1,1,0,0,0,11.55
0,0,1,0,0,0,0,0,1,0,0,11.54
0,0,1,0,0,0,0,0,0,1,0,10.77
0,0,0,0,1,0,0,0,0,0,1,13.58
0,1,0,0,0,1,0,1,1,1,0,103.87
1,0,0,0,0,0,1,1,1,1,0,11.04
1,1,0,0,0,1,0,1,1,1,0,8.02
1,1,0,0,0,0,1,1,1,1,0,7.43
1,1,1,0,0,0,0,1,1,1,0,9.23
1,1,0,1,0,0,0,1,1,1,0,7.23
1,1,0,0,1,0,0,1,1,1,0,9.53
1,1,1,0,0,0,0,0,1,1,0,12.39
1,1,1,0,0,0,0,1,0,1,0,7.93
1,1,0,1,0,0,0,1,1,0,0,7.23
1,1,0,1,0,0,0,0,1,1,0,10.31
1,1,1,0,0,0,0,0,0,0,0,12.43
1,0,1,0,0,0,0,0,0,0,0,11.61
1,0,0,1,0,0,0,0,0,0,0,11.53
1,0,0,0,0,1,0,0,0,0,0,7.95
1,0,0,0,0,0,1,0,0,0,0,103.78
1,0,0,1,0,0,0,1,0,0,0,11.53
1,0,0,1,0,0,0,0,1,0,0,7.98
1,0,0,1,0,0,0,0,0,1,0,12.17
1,0,0,0,1,0,0,0,0,0,1,11.56
0,1,1,0,0,0,0,0,0,0,0,12.48
0,1,0,1,0,0,0,0,0,0,0,7.76
0,1,0,0,0,1,0,0,0,0,0,8.22
0,1,0,0,0,0,1,0,0,0,0,7.17
0,1,0,1,0,0,0,1,0,0,0,15.21
0,1,0,1,0,0,0,0,1,0,0,10.29
0,1,0,0,1,0,0,0,0,1,0,10.76
0,1,0,0,1,0,0,0,0,0,1,8.22
0,0,1,0,0,0,0,1,0,0,0,11.08
0,0,0,1,0,0,0,1,0,0,0,9.23
0,0,0,1,0,0,0,0,1,0,0,11.61
0,0,0,1,0,0,0,0,0,1,0,9.31
