Workload,Algorithm,r,Mean (Std)
AUFNIRA_z3.637557.smt2,FEMOSAA,1,5.881 (0.131)
AUFNIRA_z3.637557.smt2,Seed-EA,2,5.898 (0.317)
AUFNIRA_z3.637557.smt2,D-SOGA,2,5.951 (0.953)
AUFNIRA_z3.637557.smt2,LiDOS,3,5.993 (0.628)
AUFNIRA_z3.637557.smt2,DLiSA-0.3,1,5.856 (0.011)
LRA_formula_277.smt2,FEMOSAA,1,1.77 (0.089)
LRA_formula_277.smt2,Seed-EA,4,2.463 (0.668)
LRA_formula_277.smt2,D-SOGA,1,2.051 (0.491)
LRA_formula_277.smt2,LiDOS,3,2.375 (0.616)
LRA_formula_277.smt2,DLiSA-0.3,2,2.254 (0.608)
QF_AUFBV_891_sqlite3.smt2,FEMOSAA,2,0.629 (0.999)
QF_AUFBV_891_sqlite3.smt2,Seed-EA,2,0.417 (0.802)
QF_AUFBV_891_sqlite3.smt2,D-SOGA,1,0.352 (0.611)
QF_AUFBV_891_sqlite3.smt2,LiDOS,2,0.429 (0.875)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.3,2,0.364 (0.66)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,FEMOSAA,1,2.375 (0.245)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,Seed-EA,2,2.422 (0.274)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,D-SOGA,3,2.468 (0.428)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,LiDOS,2,2.384 (0.254)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.3,1,2.324 (0.15)
QF_BV_bench_3176.smt2,FEMOSAA,2,3.339 (0.655)
QF_BV_bench_3176.smt2,Seed-EA,2,3.18 (0.33)
QF_BV_bench_3176.smt2,D-SOGA,2,3.172 (0.223)
QF_BV_bench_3176.smt2,LiDOS,2,3.195 (0.342)
QF_BV_bench_3176.smt2,DLiSA-0.3,1,3.15 (0.111)
QF_BV_bench_935.smt2,FEMOSAA,2,1.406 (0.228)
QF_BV_bench_935.smt2,Seed-EA,2,1.33 (0.135)
QF_BV_bench_935.smt2,D-SOGA,2,1.327 (0.137)
QF_BV_bench_935.smt2,LiDOS,2,1.337 (0.158)
QF_BV_bench_935.smt2,DLiSA-0.3,1,1.322 (0.13)
QF_LIA_tightrhombus,FEMOSAA,1,0.278 (0.212)
QF_LIA_tightrhombus,Seed-EA,1,0.32 (0.504)
QF_LIA_tightrhombus,D-SOGA,1,0.265 (0.194)
QF_LIA_tightrhombus,LiDOS,1,0.269 (0.253)
QF_LIA_tightrhombus,DLiSA-0.3,1,0.292 (0.458)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,FEMOSAA,3,8.751 (0.016)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,Seed-EA,3,8.747 (0.015)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,D-SOGA,3,8.806 (0.59)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,LiDOS,1,8.746 (0.005)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.3,2,8.746 (0.005)
QF_NRA_hong_9.smt2,FEMOSAA,3,3.184 (0.005)
QF_NRA_hong_9.smt2,Seed-EA,2,3.181 (0.003)
QF_NRA_hong_9.smt2,D-SOGA,1,3.181 (0.003)
QF_NRA_hong_9.smt2,LiDOS,3,3.182 (0.004)
QF_NRA_hong_9.smt2,DLiSA-0.3,3,3.181 (0.003)
QF_RDL_orb08_888.smt2,FEMOSAA,1,6.795 (0.232)
QF_RDL_orb08_888.smt2,Seed-EA,1,6.822 (0.233)
QF_RDL_orb08_888.smt2,D-SOGA,1,6.84 (0.241)
QF_RDL_orb08_888.smt2,LiDOS,1,6.845 (0.265)
QF_RDL_orb08_888.smt2,DLiSA-0.3,1,6.816 (0.236)
QF_UFLIA_xs_23_43.smt2,FEMOSAA,1,8.248 (1.047)
QF_UFLIA_xs_23_43.smt2,Seed-EA,2,8.41 (1.719)
QF_UFLIA_xs_23_43.smt2,D-SOGA,1,8.232 (1.282)
QF_UFLIA_xs_23_43.smt2,LiDOS,1,8.327 (1.378)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.3,1,7.948 (0.654)
QF_UF_PEQ018_size6.smt2,FEMOSAA,3,3.989 (0.344)
QF_UF_PEQ018_size6.smt2,Seed-EA,2,3.89 (0.063)
QF_UF_PEQ018_size6.smt2,D-SOGA,2,3.898 (0.15)
QF_UF_PEQ018_size6.smt2,LiDOS,2,3.897 (0.148)
QF_UF_PEQ018_size6.smt2,DLiSA-0.3,1,3.878 (0.009)
