Workload,Algorithm,r,Mean (Std)
ambivert,FEMOSAA,3,1.83 (1.33)
ambivert,Seed-EA,2,1.346 (1.286)
ambivert,D-SOGA,2,1.252 (1.078)
ambivert,LiDOS,2,1.386 (1.252)
ambivert,DLiSA-0.3,1,0.986 (0.866)
artificl,FEMOSAA,3,0.166 (0.048)
artificl,Seed-EA,2,0.143 (0.041)
artificl,D-SOGA,2,0.141 (0.033)
artificl,LiDOS,2,0.147 (0.045)
artificl,DLiSA-0.3,1,0.131 (0.032)
deepfield,FEMOSAA,1,0.293 (0.12)
deepfield,Seed-EA,3,0.458 (0.821)
deepfield,D-SOGA,3,0.322 (0.168)
deepfield,LiDOS,3,0.659 (0.706)
deepfield,DLiSA-0.3,2,0.308 (0.129)
enwik8,FEMOSAA,4,2.625 (1.845)
enwik8,Seed-EA,2,1.851 (1.789)
enwik8,D-SOGA,2,1.598 (1.403)
enwik8,LiDOS,3,1.963 (1.883)
enwik8,DLiSA-0.3,1,1.173 (0.697)
fannie_mae_500k,FEMOSAA,3,1.884 (1.057)
fannie_mae_500k,Seed-EA,2,1.281 (1.076)
fannie_mae_500k,D-SOGA,2,1.182 (0.994)
fannie_mae_500k,LiDOS,2,1.362 (1.152)
fannie_mae_500k,DLiSA-0.3,1,0.938 (0.604)
large,FEMOSAA,4,0.687 (0.448)
large,Seed-EA,3,0.528 (0.406)
large,D-SOGA,2,0.519 (0.363)
large,LiDOS,3,0.581 (0.44)
large,DLiSA-0.3,1,0.433 (0.263)
misc,FEMOSAA,3,0.243 (0.106)
misc,Seed-EA,2,0.21 (0.108)
misc,D-SOGA,2,0.205 (0.104)
misc,LiDOS,2,0.212 (0.116)
misc,DLiSA-0.3,1,0.177 (0.078)
silesia,FEMOSAA,4,5.386 (4.813)
silesia,Seed-EA,2,3.869 (4.276)
silesia,D-SOGA,2,3.227 (2.843)
silesia,LiDOS,3,4.002 (4.353)
silesia,DLiSA-0.3,1,2.347 (2.228)
vmlinux,FEMOSAA,3,1.092 (0.695)
vmlinux,Seed-EA,2,0.852 (0.615)
vmlinux,D-SOGA,2,0.813 (0.583)
vmlinux,LiDOS,2,0.912 (0.745)
vmlinux,DLiSA-0.3,1,0.709 (0.585)
