Workload,Algorithm,r,Mean (Std)
ambivert.wav.tar,FEMOSAA,2,3.214 (0.127)
ambivert.wav.tar,Seed-EA,2,3.134 (0.034)
ambivert.wav.tar,D-SOGA,1,3.132 (0.015)
ambivert.wav.tar,LiDOS,2,3.136 (0.032)
ambivert.wav.tar,DLiSA-0.3,2,3.135 (0.035)
artificl.tar,FEMOSAA,2,0.031 (0.002)
artificl.tar,Seed-EA,2,0.03 (0.0)
artificl.tar,D-SOGA,2,0.03 (0.0)
artificl.tar,LiDOS,2,0.03 (0.0)
artificl.tar,DLiSA-0.3,1,0.03 (0.0)
deepfield.tar,FEMOSAA,3,3.335 (0.037)
deepfield.tar,Seed-EA,1,3.304 (0.013)
deepfield.tar,D-SOGA,3,3.311 (0.023)
deepfield.tar,LiDOS,2,3.309 (0.019)
deepfield.tar,DLiSA-0.3,2,3.305 (0.014)
enwik8.tar,FEMOSAA,3,7.268 (0.227)
enwik8.tar,Seed-EA,2,7.165 (0.088)
enwik8.tar,D-SOGA,2,7.17 (0.078)
enwik8.tar,LiDOS,3,7.171 (0.039)
enwik8.tar,DLiSA-0.3,1,7.159 (0.032)
fannie_mae_500k.tar,FEMOSAA,3,33.581 (0.386)
fannie_mae_500k.tar,Seed-EA,1,33.395 (0.016)
fannie_mae_500k.tar,D-SOGA,2,33.397 (0.017)
fannie_mae_500k.tar,LiDOS,3,33.424 (0.148)
fannie_mae_500k.tar,DLiSA-0.3,2,33.421 (0.15)
large.tar,FEMOSAA,4,0.978 (0.012)
large.tar,Seed-EA,2,0.971 (0.003)
large.tar,D-SOGA,1,0.97 (0.002)
large.tar,LiDOS,3,0.972 (0.006)
large.tar,DLiSA-0.3,3,0.971 (0.003)
misc.tar,FEMOSAA,3,0.198 (0.005)
misc.tar,Seed-EA,1,0.192 (0.004)
misc.tar,D-SOGA,2,0.192 (0.004)
misc.tar,LiDOS,3,0.193 (0.005)
misc.tar,DLiSA-0.3,3,0.192 (0.004)
silesia.tar,FEMOSAA,3,10.966 (0.092)
silesia.tar,Seed-EA,3,10.91 (0.043)
silesia.tar,D-SOGA,2,10.909 (0.039)
silesia.tar,LiDOS,3,10.919 (0.048)
silesia.tar,DLiSA-0.3,1,10.907 (0.02)
uiq-32.bin,FEMOSAA,4,9.492 (0.478)
uiq-32.bin,Seed-EA,1,9.18 (0.282)
uiq-32.bin,D-SOGA,3,9.279 (0.321)
uiq-32.bin,LiDOS,4,9.358 (0.296)
uiq-32.bin,DLiSA-0.3,2,9.197 (0.314)
uiq2-16.bin,FEMOSAA,3,5.595 (0.381)
uiq2-16.bin,Seed-EA,2,5.358 (0.233)
uiq2-16.bin,D-SOGA,3,5.429 (0.299)
uiq2-16.bin,LiDOS,2,5.398 (0.276)
uiq2-16.bin,DLiSA-0.3,1,5.358 (0.228)
uiq2-4.bin,FEMOSAA,2,2.126 (0.047)
uiq2-4.bin,Seed-EA,2,2.092 (0.035)
uiq2-4.bin,D-SOGA,2,2.094 (0.029)
uiq2-4.bin,LiDOS,2,2.093 (0.029)
uiq2-4.bin,DLiSA-0.3,1,2.089 (0.022)
uiq2-8.bin,FEMOSAA,3,3.547 (0.121)
uiq2-8.bin,Seed-EA,1,3.474 (0.059)
uiq2-8.bin,D-SOGA,2,3.488 (0.079)
uiq2-8.bin,LiDOS,3,3.501 (0.154)
uiq2-8.bin,DLiSA-0.3,2,3.477 (0.065)
vmlinux-5.10.tar,FEMOSAA,3,2.546 (0.024)
vmlinux-5.10.tar,Seed-EA,2,2.529 (0.018)
vmlinux-5.10.tar,D-SOGA,1,2.527 (0.016)
vmlinux-5.10.tar,LiDOS,3,2.534 (0.019)
vmlinux-5.10.tar,DLiSA-0.3,3,2.53 (0.018)
