Workload,Algorithm,r,Mean (Std)
jpeg-large,FEMOSAA,4,1.952 (0.147)
jpeg-large,Seed-EA,3,1.867 (0.124)
jpeg-large,D-SOGA,1,1.844 (0.093)
jpeg-large,LiDOS,4,1.892 (0.135)
jpeg-large,DLiSA-0.3,2,1.849 (0.105)
jpeg-medium,FEMOSAA,2,1.186 (0.071)
jpeg-medium,Seed-EA,2,1.12 (0.061)
jpeg-medium,D-SOGA,2,1.118 (0.056)
jpeg-medium,LiDOS,2,1.126 (0.062)
jpeg-medium,DLiSA-0.3,1,1.115 (0.049)
jpeg-small,FEMOSAA,3,0.384 (0.007)
jpeg-small,Seed-EA,2,0.375 (0.007)
jpeg-small,D-SOGA,3,0.376 (0.007)
jpeg-small,LiDOS,3,0.377 (0.008)
jpeg-small,DLiSA-0.3,1,0.375 (0.008)
png-large,FEMOSAA,3,1.657 (0.081)
png-large,Seed-EA,3,1.608 (0.071)
png-large,D-SOGA,1,1.603 (0.063)
png-large,LiDOS,3,1.622 (0.08)
png-large,DLiSA-0.3,2,1.605 (0.067)
png-medium,FEMOSAA,2,0.522 (0.021)
png-medium,Seed-EA,1,0.502 (0.015)
png-medium,D-SOGA,2,0.503 (0.015)
png-medium,LiDOS,2,0.505 (0.016)
png-medium,DLiSA-0.3,2,0.503 (0.019)
png-small,FEMOSAA,2,0.391 (0.013)
png-small,Seed-EA,1,0.375 (0.011)
png-small,D-SOGA,2,0.376 (0.012)
png-small,LiDOS,2,0.376 (0.01)
png-small,DLiSA-0.3,2,0.376 (0.011)
psd-large,FEMOSAA,2,19.015 (3.692)
psd-large,Seed-EA,2,17.485 (2.864)
psd-large,D-SOGA,1,17.269 (2.668)
psd-large,LiDOS,2,18.333 (3.433)
psd-large,DLiSA-0.3,1,17.366 (2.734)
psd-medium,FEMOSAA,3,1.057 (0.033)
psd-medium,Seed-EA,1,1.03 (0.026)
psd-medium,D-SOGA,2,1.032 (0.026)
psd-medium,LiDOS,3,1.039 (0.029)
psd-medium,DLiSA-0.3,3,1.032 (0.027)
psd-small,FEMOSAA,3,0.491 (0.015)
psd-small,Seed-EA,2,0.474 (0.015)
psd-small,D-SOGA,3,0.474 (0.014)
psd-small,LiDOS,3,0.477 (0.016)
psd-small,DLiSA-0.3,1,0.473 (0.014)
svg-large,FEMOSAA,2,1.441 (0.011)
svg-large,Seed-EA,1,1.439 (0.009)
svg-large,D-SOGA,1,1.44 (0.008)
svg-large,LiDOS,2,1.441 (0.009)
svg-large,DLiSA-0.3,1,1.438 (0.009)
svg-medium,FEMOSAA,3,1.464 (0.02)
svg-medium,Seed-EA,1,1.442 (0.018)
svg-medium,D-SOGA,2,1.446 (0.019)
svg-medium,LiDOS,3,1.447 (0.021)
svg-medium,DLiSA-0.3,2,1.444 (0.019)
svg-small,FEMOSAA,2,0.49 (0.009)
svg-small,Seed-EA,1,0.487 (0.009)
svg-small,D-SOGA,2,0.487 (0.01)
svg-small,LiDOS,2,0.489 (0.01)
svg-small,DLiSA-0.3,1,0.487 (0.007)
