Workload,Algorithm,r,Mean (Std)
ambivert.wav.tar,FEMOSAA,2,4.731 (1.33)
ambivert.wav.tar,Seed-EA,1,4.369 (1.205)
ambivert.wav.tar,D-SOGA,2,4.515 (1.296)
ambivert.wav.tar,LiDOS,3,4.809 (1.325)
ambivert.wav.tar,DLiSA-0.3,1,3.693 (0.772)
artificl.tar,FEMOSAA,3,0.014 (0.005)
artificl.tar,Seed-EA,2,0.013 (0.005)
artificl.tar,D-SOGA,2,0.014 (0.005)
artificl.tar,LiDOS,4,0.016 (0.006)
artificl.tar,DLiSA-0.3,1,0.012 (0.004)
deepfield.tar,FEMOSAA,2,4.585 (1.364)
deepfield.tar,Seed-EA,2,4.396 (1.256)
deepfield.tar,D-SOGA,1,4.241 (1.146)
deepfield.tar,LiDOS,3,4.668 (1.339)
deepfield.tar,DLiSA-0.3,1,3.582 (0.65)
enwik8.tar,FEMOSAA,3,13.918 (4.212)
enwik8.tar,Seed-EA,2,12.761 (3.97)
enwik8.tar,D-SOGA,2,12.761 (3.711)
enwik8.tar,LiDOS,2,13.008 (3.864)
enwik8.tar,DLiSA-0.3,1,11.001 (3.132)
fannie_mae_500k.tar,FEMOSAA,3,14.628 (4.1)
fannie_mae_500k.tar,Seed-EA,1,12.891 (3.707)
fannie_mae_500k.tar,D-SOGA,2,13.444 (4.004)
fannie_mae_500k.tar,LiDOS,2,14.094 (3.98)
fannie_mae_500k.tar,DLiSA-0.3,1,10.406 (2.39)
large.tar,FEMOSAA,1,1.939 (0.586)
large.tar,Seed-EA,1,1.899 (0.548)
large.tar,D-SOGA,2,1.967 (0.561)
large.tar,LiDOS,1,1.967 (0.544)
large.tar,DLiSA-0.3,1,1.552 (0.41)
misc.tar,FEMOSAA,4,0.213 (0.026)
misc.tar,Seed-EA,2,0.202 (0.015)
misc.tar,D-SOGA,3,0.205 (0.02)
misc.tar,LiDOS,3,0.208 (0.02)
misc.tar,DLiSA-0.3,1,0.193 (0.01)
silesia.tar,FEMOSAA,3,30.729 (8.591)
silesia.tar,Seed-EA,2,26.889 (7.204)
silesia.tar,D-SOGA,2,27.456 (7.979)
silesia.tar,LiDOS,2,28.254 (7.225)
silesia.tar,DLiSA-0.3,1,22.957 (5.456)
uiq-32.bin,FEMOSAA,3,26.672 (8.101)
uiq-32.bin,Seed-EA,1,24.428 (7.277)
uiq-32.bin,D-SOGA,2,25.789 (7.275)
uiq-32.bin,LiDOS,1,25.739 (7.269)
uiq-32.bin,DLiSA-0.3,1,20.05 (4.127)
uiq2-16.bin,FEMOSAA,1,12.377 (3.785)
uiq2-16.bin,Seed-EA,1,12.02 (3.332)
uiq2-16.bin,D-SOGA,1,12.05 (3.401)
uiq2-16.bin,LiDOS,2,12.583 (3.46)
uiq2-16.bin,DLiSA-0.3,1,10.28 (2.502)
uiq2-4.bin,FEMOSAA,3,3.413 (0.975)
uiq2-4.bin,Seed-EA,1,3.05 (0.855)
uiq2-4.bin,D-SOGA,2,3.137 (0.851)
uiq2-4.bin,LiDOS,2,3.277 (0.965)
uiq2-4.bin,DLiSA-0.3,1,2.604 (0.539)
uiq2-8.bin,FEMOSAA,4,7.021 (2.095)
uiq2-8.bin,Seed-EA,2,6.027 (1.749)
uiq2-8.bin,D-SOGA,3,6.559 (1.843)
uiq2-8.bin,LiDOS,2,6.324 (1.844)
uiq2-8.bin,DLiSA-0.3,1,5.132 (1.234)
vmlinux-5.10.tar,FEMOSAA,3,3.703 (0.998)
vmlinux-5.10.tar,Seed-EA,1,3.321 (0.855)
vmlinux-5.10.tar,D-SOGA,2,3.448 (0.891)
vmlinux-5.10.tar,LiDOS,2,3.584 (0.947)
vmlinux-5.10.tar,DLiSA-0.3,1,2.84 (0.573)
