,Workload,Algorithm,r,Mean (Std)
44,mandelbrot,DLiSA-0.3,2,1.051 (0.014)
45,strawberry,FEMOSAA,3,1.145 (0.037)
46,strawberry,Seed-EA,1,1.116 (0.015)
47,strawberry,D-SOGA,3,1.117 (0.017)
48,strawberry,LiDOS,3,1.12 (0.018)
49,strawberry,DLiSA-0.3,2,1.117 (0.017)
50,village,FEMOSAA,3,1.693 (0.053)
51,village,Seed-EA,1,1.627 (0.035)
52,village,D-SOGA,3,1.63 (0.032)
53,village,LiDOS,3,1.636 (0.041)
54,village,DLiSA-0.3,2,1.628 (0.038)
55,jpeg-large,FEMOSAA,4,1.952 (0.147)
56,jpeg-large,Seed-EA,3,1.867 (0.124)
57,jpeg-large,D-SOGA,1,1.844 (0.093)
58,jpeg-large,LiDOS,4,1.892 (0.135)
59,jpeg-large,DLiSA-0.3,2,1.849 (0.105)
60,jpeg-medium,FEMOSAA,2,1.186 (0.071)
61,jpeg-medium,Seed-EA,2,1.12 (0.061)
62,jpeg-medium,D-SOGA,2,1.118 (0.056)
63,jpeg-medium,LiDOS,2,1.126 (0.062)
64,jpeg-medium,DLiSA-0.3,1,1.115 (0.049)
65,jpeg-small,FEMOSAA,3,0.384 (0.007)
66,jpeg-small,Seed-EA,2,0.375 (0.007)
67,jpeg-small,D-SOGA,3,0.376 (0.007)
68,jpeg-small,LiDOS,3,0.377 (0.008)
69,jpeg-small,DLiSA-0.3,1,0.375 (0.008)
70,png-large,FEMOSAA,3,1.657 (0.081)
71,png-large,Seed-EA,3,1.608 (0.071)
72,png-large,D-SOGA,1,1.603 (0.063)
73,png-large,LiDOS,3,1.622 (0.08)
74,png-large,DLiSA-0.3,2,1.605 (0.067)
75,png-medium,FEMOSAA,2,0.522 (0.021)
76,png-medium,Seed-EA,1,0.502 (0.015)
77,png-medium,D-SOGA,2,0.503 (0.015)
78,png-medium,LiDOS,2,0.505 (0.016)
79,png-medium,DLiSA-0.3,2,0.503 (0.019)
80,png-small,FEMOSAA,2,0.391 (0.013)
81,png-small,Seed-EA,1,0.375 (0.011)
82,png-small,D-SOGA,2,0.376 (0.012)
83,png-small,LiDOS,2,0.376 (0.01)
84,png-small,DLiSA-0.3,2,0.376 (0.011)
85,psd-large,FEMOSAA,2,19.015 (3.692)
86,psd-large,Seed-EA,2,17.485 (2.864)
87,psd-large,D-SOGA,1,17.269 (2.668)
88,psd-large,LiDOS,2,18.333 (3.433)
89,psd-large,DLiSA-0.3,1,17.366 (2.734)
90,psd-medium,FEMOSAA,3,1.057 (0.033)
91,psd-medium,Seed-EA,1,1.03 (0.026)
92,psd-medium,D-SOGA,2,1.032 (0.026)
93,psd-medium,LiDOS,3,1.039 (0.029)
94,psd-medium,DLiSA-0.3,3,1.032 (0.027)
95,psd-small,FEMOSAA,3,0.491 (0.015)
96,psd-small,Seed-EA,2,0.474 (0.015)
97,psd-small,D-SOGA,3,0.474 (0.014)
98,psd-small,LiDOS,3,0.477 (0.016)
99,psd-small,DLiSA-0.3,1,0.473 (0.014)
100,svg-large,FEMOSAA,2,1.441 (0.011)
101,svg-large,Seed-EA,1,1.439 (0.009)
102,svg-large,D-SOGA,1,1.44 (0.008)
103,svg-large,LiDOS,2,1.441 (0.009)
104,svg-large,DLiSA-0.3,1,1.438 (0.009)
105,svg-medium,FEMOSAA,3,1.464 (0.02)
106,svg-medium,Seed-EA,1,1.442 (0.018)
107,svg-medium,D-SOGA,2,1.446 (0.019)
108,svg-medium,LiDOS,3,1.447 (0.021)
109,svg-medium,DLiSA-0.3,2,1.444 (0.019)
110,svg-small,FEMOSAA,2,0.49 (0.009)
111,svg-small,Seed-EA,1,0.487 (0.009)
112,svg-small,D-SOGA,2,0.487 (0.01)
113,svg-small,LiDOS,2,0.489 (0.01)
114,svg-small,DLiSA-0.3,1,0.487 (0.007)
115,smallbank-1,FEMOSAA,3,25641.195 (1612.807)
116,smallbank-1,Seed-EA,2,26395.457 (1332.09)
117,smallbank-1,D-SOGA,2,26485.351 (1090.741)
118,smallbank-1,LiDOS,2,26287.284 (1466.595)
119,smallbank-1,DLiSA-0.3,1,26721.45 (705.601)
120,smallbank-10,FEMOSAA,3,18273.524 (1026.898)
121,smallbank-10,Seed-EA,2,18573.352 (1625.003)
122,smallbank-10,D-SOGA,1,18847.953 (865.318)
123,smallbank-10,LiDOS,2,18488.896 (1651.846)
124,smallbank-10,DLiSA-0.3,1,18972.982 (758.262)
125,tpcc-2,FEMOSAA,3,908.11 (46.396)
126,tpcc-2,Seed-EA,1,943.275 (53.605)
127,tpcc-2,D-SOGA,1,946.655 (43.526)
128,tpcc-2,LiDOS,2,938.221 (54.261)
129,tpcc-2,DLiSA-0.3,1,948.344 (38.602)
130,tpcc-8,FEMOSAA,3,963.053 (92.521)
131,tpcc-8,Seed-EA,2,1012.475 (108.587)
132,tpcc-8,D-SOGA,2,1015.531 (86.929)
133,tpcc-8,LiDOS,2,1006.74 (104.145)
134,tpcc-8,DLiSA-0.3,1,1032.006 (45.261)
135,voter-16,FEMOSAA,2,46866.246 (3439.525)
136,voter-16,Seed-EA,1,47332.765 (3793.023)
137,voter-16,D-SOGA,1,47491.315 (3459.523)
138,voter-16,LiDOS,2,47021.762 (4273.182)
139,voter-16,DLiSA-0.3,1,47835.194 (2491.758)
140,voter-2,FEMOSAA,3,47199.317 (2383.084)
141,voter-2,Seed-EA,3,47446.104 (3798.389)
142,voter-2,D-SOGA,2,47844.701 (2876.854)
143,voter-2,LiDOS,3,47119.407 (4400.199)
144,voter-2,DLiSA-0.3,1,48335.083 (488.968)
145,ycsb-2400,FEMOSAA,2,18499.348 (1805.899)
146,ycsb-2400,Seed-EA,1,19979.516 (1662.321)
147,ycsb-2400,D-SOGA,1,19952.252 (1608.535)
148,ycsb-2400,LiDOS,1,19878.876 (1701.235)
149,ycsb-2400,DLiSA-0.3,1,20037.04 (1584.735)
150,ycsb-600,FEMOSAA,2,26235.578 (2089.717)
151,ycsb-600,Seed-EA,1,27973.092 (2149.536)
152,ycsb-600,D-SOGA,1,28147.533 (1915.831)
153,ycsb-600,LiDOS,1,27926.014 (2064.011)
154,ycsb-600,DLiSA-0.3,1,28129.89 (1669.565)
155,beethoven.wav,FEMOSAA,2,2.979 (1.03)
156,beethoven.wav,Seed-EA,2,2.636 (0.836)
157,beethoven.wav,D-SOGA,2,2.666 (0.848)
158,beethoven.wav,LiDOS,2,2.665 (0.789)
159,beethoven.wav,DLiSA-0.3,1,2.573 (0.828)
160,dual-channel.wav,FEMOSAA,3,1.093 (0.314)
161,dual-channel.wav,Seed-EA,2,0.915 (0.279)
162,dual-channel.wav,D-SOGA,2,0.944 (0.264)
163,dual-channel.wav,LiDOS,2,0.915 (0.232)
164,dual-channel.wav,DLiSA-0.3,1,0.846 (0.197)
165,helix.wav,FEMOSAA,3,1.629 (0.514)
166,helix.wav,Seed-EA,2,1.375 (0.421)
167,helix.wav,D-SOGA,3,1.441 (0.414)
168,helix.wav,LiDOS,2,1.431 (0.372)
169,helix.wav,DLiSA-0.3,1,1.309 (0.368)
170,single-channel.wav,FEMOSAA,3,0.741 (0.157)
171,single-channel.wav,Seed-EA,2,0.685 (0.145)
172,single-channel.wav,D-SOGA,2,0.697 (0.136)
173,single-channel.wav,LiDOS,2,0.679 (0.105)
174,single-channel.wav,DLiSA-0.3,1,0.642 (0.076)
175,speech.wav,FEMOSAA,3,1.446 (0.699)
176,speech.wav,Seed-EA,2,1.136 (0.417)
177,speech.wav,D-SOGA,2,1.21 (0.553)
178,speech.wav,LiDOS,2,1.179 (0.44)
179,speech.wav,DLiSA-0.3,1,1.045 (0.246)
180,sweep.wav,FEMOSAA,4,0.319 (0.045)
181,sweep.wav,Seed-EA,2,0.304 (0.028)
182,sweep.wav,D-SOGA,2,0.309 (0.033)
183,sweep.wav,LiDOS,3,0.31 (0.03)
184,sweep.wav,DLiSA-0.3,1,0.298 (0.018)
185,ambivert,FEMOSAA,3,1.83 (1.33)
186,ambivert,Seed-EA,2,1.346 (1.286)
187,ambivert,D-SOGA,2,1.252 (1.078)
188,ambivert,LiDOS,2,1.386 (1.252)
189,ambivert,DLiSA-0.3,1,0.986 (0.866)
190,artificl,FEMOSAA,3,0.166 (0.048)
191,artificl,Seed-EA,2,0.143 (0.041)
192,artificl,D-SOGA,2,0.141 (0.033)
193,artificl,LiDOS,2,0.147 (0.045)
194,artificl,DLiSA-0.3,1,0.131 (0.032)
195,deepfield,FEMOSAA,1,0.293 (0.12)
196,deepfield,Seed-EA,3,0.458 (0.821)
197,deepfield,D-SOGA,3,0.322 (0.168)
198,deepfield,LiDOS,3,0.659 (0.706)
199,deepfield,DLiSA-0.3,2,0.308 (0.129)
200,enwik8,FEMOSAA,4,2.625 (1.845)
201,enwik8,Seed-EA,2,1.851 (1.789)
202,enwik8,D-SOGA,2,1.598 (1.403)
203,enwik8,LiDOS,3,1.963 (1.883)
204,enwik8,DLiSA-0.3,1,1.173 (0.697)
205,fannie_mae_500k,FEMOSAA,3,1.884 (1.057)
206,fannie_mae_500k,Seed-EA,2,1.281 (1.076)
207,fannie_mae_500k,D-SOGA,2,1.182 (0.994)
208,fannie_mae_500k,LiDOS,2,1.362 (1.152)
209,fannie_mae_500k,DLiSA-0.3,1,0.938 (0.604)
210,large,FEMOSAA,4,0.687 (0.448)
211,large,Seed-EA,3,0.528 (0.406)
212,large,D-SOGA,2,0.519 (0.363)
213,large,LiDOS,3,0.581 (0.44)
214,large,DLiSA-0.3,1,0.433 (0.263)
215,misc,FEMOSAA,3,0.243 (0.106)
216,misc,Seed-EA,2,0.21 (0.108)
217,misc,D-SOGA,2,0.205 (0.104)
218,misc,LiDOS,2,0.212 (0.116)
219,misc,DLiSA-0.3,1,0.177 (0.078)
220,silesia,FEMOSAA,4,5.386 (4.813)
221,silesia,Seed-EA,2,3.869 (4.276)
222,silesia,D-SOGA,2,3.227 (2.843)
223,silesia,LiDOS,3,4.002 (4.353)
224,silesia,DLiSA-0.3,1,2.347 (2.228)
225,vmlinux,FEMOSAA,3,1.092 (0.695)
226,vmlinux,Seed-EA,2,0.852 (0.615)
227,vmlinux,D-SOGA,2,0.813 (0.583)
228,vmlinux,LiDOS,2,0.912 (0.745)
229,vmlinux,DLiSA-0.3,1,0.709 (0.585)
230,ambivert.wav.tar,FEMOSAA,3,3.205 (0.125)
231,ambivert.wav.tar,Seed-EA,2,3.137 (0.037)
232,ambivert.wav.tar,D-SOGA,3,3.142 (0.057)
233,ambivert.wav.tar,LiDOS,3,3.16 (0.072)
234,ambivert.wav.tar,DLiSA-0.3,1,3.137 (0.041)
235,artificl.tar,FEMOSAA,3,0.031 (0.003)
236,artificl.tar,Seed-EA,2,0.03 (0.001)
237,artificl.tar,D-SOGA,2,0.03 (0.001)
238,artificl.tar,LiDOS,2,0.03 (0.001)
239,artificl.tar,DLiSA-0.3,1,0.03 (0.0)
240,deepfield.tar,FEMOSAA,3,3.336 (0.037)
241,deepfield.tar,Seed-EA,2,3.31 (0.021)
242,deepfield.tar,D-SOGA,3,3.31 (0.019)
243,deepfield.tar,LiDOS,3,3.312 (0.023)
