Workload,Algorithm,r,Mean (Std)
beethoven.wav,FEMOSAA,2,2.979 (1.03)
beethoven.wav,Seed-EA,2,2.636 (0.836)
beethoven.wav,D-SOGA,2,2.666 (0.848)
beethoven.wav,LiDOS,2,2.665 (0.789)
beethoven.wav,DLiSA-0.3,1,2.573 (0.828)
dual-channel.wav,FEMOSAA,3,1.093 (0.314)
dual-channel.wav,Seed-EA,2,0.915 (0.279)
dual-channel.wav,D-SOGA,2,0.944 (0.264)
dual-channel.wav,LiDOS,2,0.915 (0.232)
dual-channel.wav,DLiSA-0.3,1,0.846 (0.197)
helix.wav,FEMOSAA,3,1.629 (0.514)
helix.wav,Seed-EA,2,1.375 (0.421)
helix.wav,D-SOGA,3,1.441 (0.414)
helix.wav,LiDOS,2,1.431 (0.372)
helix.wav,DLiSA-0.3,1,1.309 (0.368)
single-channel.wav,FEMOSAA,3,0.741 (0.157)
single-channel.wav,Seed-EA,2,0.685 (0.145)
single-channel.wav,D-SOGA,2,0.697 (0.136)
single-channel.wav,LiDOS,2,0.679 (0.105)
single-channel.wav,DLiSA-0.3,1,0.642 (0.076)
speech.wav,FEMOSAA,3,1.446 (0.699)
speech.wav,Seed-EA,2,1.136 (0.417)
speech.wav,D-SOGA,2,1.21 (0.553)
speech.wav,LiDOS,2,1.179 (0.44)
speech.wav,DLiSA-0.3,1,1.045 (0.246)
sweep.wav,FEMOSAA,4,0.319 (0.045)
sweep.wav,Seed-EA,2,0.304 (0.028)
sweep.wav,D-SOGA,2,0.309 (0.033)
sweep.wav,LiDOS,3,0.31 (0.03)
sweep.wav,DLiSA-0.3,1,0.298 (0.018)
