Workload,Algorithm,r,Mean (Std)
Johnny_1280x720_60_short.y4m,FEMOSAA,3,1.038 (0.299)
Johnny_1280x720_60_short.y4m,Seed-EA,2,0.937 (0.19)
Johnny_1280x720_60_short.y4m,D-SOGA,2,0.933 (0.189)
Johnny_1280x720_60_short.y4m,LiDOS,2,0.965 (0.195)
Johnny_1280x720_60_short.y4m,DLiSA-0.3,1,0.89 (0.14)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,FEMOSAA,3,3.954 (0.842)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,Seed-EA,2,3.775 (0.806)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,D-SOGA,1,3.751 (0.819)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,LiDOS,2,3.927 (0.845)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.3,1,3.59 (0.567)
blue_sky_1080p25_short.y4m,FEMOSAA,3,1.534 (0.421)
blue_sky_1080p25_short.y4m,Seed-EA,2,1.374 (0.327)
blue_sky_1080p25_short.y4m,D-SOGA,2,1.4 (0.322)
blue_sky_1080p25_short.y4m,LiDOS,2,1.422 (0.348)
blue_sky_1080p25_short.y4m,DLiSA-0.3,1,1.286 (0.248)
pedestrian_area_1080p25_short.y4m,FEMOSAA,3,1.77 (0.438)
pedestrian_area_1080p25_short.y4m,Seed-EA,1,1.702 (0.43)
pedestrian_area_1080p25_short.y4m,D-SOGA,1,1.652 (0.347)
pedestrian_area_1080p25_short.y4m,LiDOS,2,1.757 (0.413)
pedestrian_area_1080p25_short.y4m,DLiSA-0.3,1,1.586 (0.236)
riverbed_1080p25_short.y4m,FEMOSAA,3,4.073 (2.727)
riverbed_1080p25_short.y4m,Seed-EA,2,3.414 (0.729)
riverbed_1080p25_short.y4m,D-SOGA,2,3.438 (0.795)
riverbed_1080p25_short.y4m,LiDOS,2,3.53 (0.808)
riverbed_1080p25_short.y4m,DLiSA-0.3,1,3.222 (0.514)
sd_bridge_close_cif_short.y4m,FEMOSAA,3,0.111 (0.018)
sd_bridge_close_cif_short.y4m,Seed-EA,2,0.104 (0.014)
sd_bridge_close_cif_short.y4m,D-SOGA,2,0.103 (0.012)
sd_bridge_close_cif_short.y4m,LiDOS,2,0.105 (0.015)
sd_bridge_close_cif_short.y4m,DLiSA-0.3,1,0.1 (0.013)
sd_city_4cif_short.y4m,FEMOSAA,3,0.679 (0.206)
sd_city_4cif_short.y4m,Seed-EA,2,0.606 (0.154)
sd_city_4cif_short.y4m,D-SOGA,2,0.606 (0.161)
sd_city_4cif_short.y4m,LiDOS,2,0.632 (0.173)
sd_city_4cif_short.y4m,DLiSA-0.3,1,0.572 (0.11)
sd_crew_cif_short.y4m,FEMOSAA,3,0.162 (0.086)
sd_crew_cif_short.y4m,Seed-EA,2,0.142 (0.029)
sd_crew_cif_short.y4m,D-SOGA,2,0.143 (0.025)
sd_crew_cif_short.y4m,LiDOS,2,0.146 (0.032)
sd_crew_cif_short.y4m,DLiSA-0.3,1,0.133 (0.019)
sintel_trailer_2k_720p24_short.y4m,FEMOSAA,3,0.261 (0.05)
sintel_trailer_2k_720p24_short.y4m,Seed-EA,1,0.249 (0.038)
sintel_trailer_2k_720p24_short.y4m,D-SOGA,2,0.249 (0.039)
sintel_trailer_2k_720p24_short.y4m,LiDOS,2,0.253 (0.04)
sintel_trailer_2k_720p24_short.y4m,DLiSA-0.3,1,0.24 (0.031)
