Workload,Algorithm,r,Mean (Std)
beethoven.wav,DLiSA-0.0,2,2.554 (0.772)
beethoven.wav,DLiSA-0.1,2,2.561 (0.758)
beethoven.wav,DLiSA-0.2,2,2.503 (0.754)
beethoven.wav,DLiSA-0.3,2,2.573 (0.828)
beethoven.wav,DLiSA-0.4,1,2.46 (0.564)
beethoven.wav,DLiSA-0.5,2,2.548 (0.595)
beethoven.wav,DLiSA-0.6,3,2.574 (0.631)
beethoven.wav,DLiSA-0.7,2,2.467 (0.546)
beethoven.wav,DLiSA-0.8,3,2.607 (0.636)
beethoven.wav,DLiSA-0.9,3,2.822 (0.83)
dual-channel.wav,DLiSA-0.0,3,0.889 (0.215)
dual-channel.wav,DLiSA-0.1,2,0.854 (0.179)
dual-channel.wav,DLiSA-0.2,3,0.898 (0.256)
dual-channel.wav,DLiSA-0.3,1,0.846 (0.197)
dual-channel.wav,DLiSA-0.4,2,0.853 (0.246)
dual-channel.wav,DLiSA-0.5,2,0.865 (0.211)
dual-channel.wav,DLiSA-0.6,2,0.863 (0.221)
dual-channel.wav,DLiSA-0.7,3,0.903 (0.267)
dual-channel.wav,DLiSA-0.8,3,0.915 (0.242)
dual-channel.wav,DLiSA-0.9,3,0.993 (0.287)
helix.wav,DLiSA-0.0,3,1.366 (0.386)
helix.wav,DLiSA-0.1,2,1.326 (0.352)
helix.wav,DLiSA-0.2,2,1.334 (0.396)
helix.wav,DLiSA-0.3,1,1.309 (0.368)
helix.wav,DLiSA-0.4,2,1.335 (0.382)
helix.wav,DLiSA-0.5,3,1.341 (0.384)
helix.wav,DLiSA-0.6,3,1.376 (0.396)
helix.wav,DLiSA-0.7,3,1.384 (0.393)
helix.wav,DLiSA-0.8,3,1.404 (0.407)
helix.wav,DLiSA-0.9,3,1.458 (0.386)
single-channel.wav,DLiSA-0.0,2,0.648 (0.079)
single-channel.wav,DLiSA-0.1,1,0.639 (0.075)
single-channel.wav,DLiSA-0.2,1,0.645 (0.104)
single-channel.wav,DLiSA-0.3,1,0.642 (0.076)
single-channel.wav,DLiSA-0.4,2,0.656 (0.117)
single-channel.wav,DLiSA-0.5,2,0.667 (0.117)
single-channel.wav,DLiSA-0.6,2,0.657 (0.105)
single-channel.wav,DLiSA-0.7,2,0.66 (0.131)
single-channel.wav,DLiSA-0.8,2,0.683 (0.145)
single-channel.wav,DLiSA-0.9,2,0.688 (0.128)
speech.wav,DLiSA-0.0,2,1.087 (0.289)
speech.wav,DLiSA-0.1,2,1.083 (0.306)
speech.wav,DLiSA-0.2,1,1.073 (0.251)
speech.wav,DLiSA-0.3,1,1.045 (0.246)
speech.wav,DLiSA-0.4,2,1.087 (0.475)
speech.wav,DLiSA-0.5,2,1.101 (0.343)
speech.wav,DLiSA-0.6,2,1.111 (0.421)
speech.wav,DLiSA-0.7,2,1.077 (0.317)
speech.wav,DLiSA-0.8,2,1.201 (0.544)
speech.wav,DLiSA-0.9,2,1.248 (0.471)
sweep.wav,DLiSA-0.0,2,0.302 (0.024)
sweep.wav,DLiSA-0.1,2,0.3 (0.024)
sweep.wav,DLiSA-0.2,2,0.302 (0.024)
sweep.wav,DLiSA-0.3,1,0.298 (0.018)
sweep.wav,DLiSA-0.4,2,0.303 (0.026)
sweep.wav,DLiSA-0.5,3,0.304 (0.028)
sweep.wav,DLiSA-0.6,2,0.303 (0.025)
sweep.wav,DLiSA-0.7,2,0.303 (0.028)
sweep.wav,DLiSA-0.8,2,0.303 (0.023)
sweep.wav,DLiSA-0.9,3,0.31 (0.026)
