Workload,Algorithm,r,Mean (Std)
corona,DLiSA-0.0,3,0.909 (0.015)
corona,DLiSA-0.1,2,0.908 (0.015)
corona,DLiSA-0.2,3,0.91 (0.015)
corona,DLiSA-0.3,1,0.907 (0.014)
corona,DLiSA-0.4,4,0.91 (0.018)
corona,DLiSA-0.5,4,0.914 (0.025)
corona,DLiSA-0.6,4,0.911 (0.021)
corona,DLiSA-0.7,4,0.913 (0.023)
corona,DLiSA-0.8,5,0.935 (0.041)
corona,DLiSA-0.9,5,0.944 (0.048)
cranium,DLiSA-0.0,3,1.341 (0.029)
cranium,DLiSA-0.1,3,1.339 (0.016)
cranium,DLiSA-0.2,4,1.341 (0.029)
cranium,DLiSA-0.3,1,1.338 (0.019)
cranium,DLiSA-0.4,2,1.338 (0.015)
cranium,DLiSA-0.5,3,1.339 (0.014)
cranium,DLiSA-0.6,3,1.34 (0.017)
cranium,DLiSA-0.7,4,1.342 (0.018)
cranium,DLiSA-0.8,4,1.366 (0.036)
cranium,DLiSA-0.9,4,1.381 (0.044)
cubus,DLiSA-0.0,1,4.197 (0.034)
cubus,DLiSA-0.1,2,4.2 (0.039)
cubus,DLiSA-0.2,3,4.206 (0.083)
cubus,DLiSA-0.3,1,4.196 (0.056)
cubus,DLiSA-0.4,3,4.2 (0.049)
cubus,DLiSA-0.5,3,4.201 (0.039)
cubus,DLiSA-0.6,3,4.205 (0.073)
cubus,DLiSA-0.7,3,4.217 (0.083)
cubus,DLiSA-0.8,3,4.282 (0.148)
cubus,DLiSA-0.9,3,4.281 (0.096)
flame,DLiSA-0.0,4,1.195 (0.021)
flame,DLiSA-0.1,1,1.19 (0.023)
flame,DLiSA-0.2,3,1.193 (0.023)
flame,DLiSA-0.3,3,1.193 (0.026)
flame,DLiSA-0.4,4,1.197 (0.021)
flame,DLiSA-0.5,2,1.192 (0.021)
flame,DLiSA-0.6,3,1.193 (0.02)
flame,DLiSA-0.7,4,1.199 (0.025)
flame,DLiSA-0.8,4,1.22 (0.02)
flame,DLiSA-0.9,4,1.226 (0.022)
france,DLiSA-0.0,2,2.408 (0.039)
france,DLiSA-0.1,3,2.409 (0.036)
france,DLiSA-0.2,3,2.409 (0.041)
france,DLiSA-0.3,1,2.404 (0.036)
france,DLiSA-0.4,4,2.411 (0.041)
france,DLiSA-0.5,4,2.411 (0.038)
france,DLiSA-0.6,4,2.416 (0.054)
france,DLiSA-0.7,4,2.423 (0.053)
france,DLiSA-0.8,4,2.468 (0.064)
france,DLiSA-0.9,4,2.486 (0.068)
frisco,DLiSA-0.0,1,3.15 (0.042)
frisco,DLiSA-0.1,2,3.153 (0.039)
frisco,DLiSA-0.2,2,3.153 (0.033)
frisco,DLiSA-0.3,1,3.152 (0.042)
frisco,DLiSA-0.4,3,3.17 (0.073)
frisco,DLiSA-0.5,2,3.166 (0.07)
frisco,DLiSA-0.6,2,3.163 (0.065)
