Workload,Algorithm,r,Mean (Std)
ambivert.wav.tar,DLiSA-0.0,2,3.916 (1.014)
ambivert.wav.tar,DLiSA-0.1,4,4.013 (1.098)
ambivert.wav.tar,DLiSA-0.2,4,3.984 (1.073)
ambivert.wav.tar,DLiSA-0.3,1,3.813 (0.849)
ambivert.wav.tar,DLiSA-0.4,3,3.974 (1.019)
ambivert.wav.tar,DLiSA-0.5,4,3.987 (1.013)
ambivert.wav.tar,DLiSA-0.6,4,3.983 (1.006)
ambivert.wav.tar,DLiSA-0.7,4,4.179 (1.154)
ambivert.wav.tar,DLiSA-0.8,4,4.381 (1.306)
ambivert.wav.tar,DLiSA-0.9,5,4.711 (1.376)
artificl.tar,DLiSA-0.0,2,0.012 (0.004)
artificl.tar,DLiSA-0.1,2,0.011 (0.003)
artificl.tar,DLiSA-0.2,2,0.012 (0.004)
artificl.tar,DLiSA-0.3,1,0.011 (0.003)
artificl.tar,DLiSA-0.4,2,0.012 (0.004)
artificl.tar,DLiSA-0.5,2,0.012 (0.004)
artificl.tar,DLiSA-0.6,1,0.011 (0.003)
artificl.tar,DLiSA-0.7,3,0.012 (0.004)
artificl.tar,DLiSA-0.8,3,0.013 (0.005)
artificl.tar,DLiSA-0.9,3,0.014 (0.005)
deepfield.tar,DLiSA-0.0,1,3.81 (0.979)
deepfield.tar,DLiSA-0.1,4,3.952 (1.124)
deepfield.tar,DLiSA-0.2,4,3.928 (1.022)
deepfield.tar,DLiSA-0.3,2,3.835 (0.966)
deepfield.tar,DLiSA-0.4,4,3.87 (0.963)
deepfield.tar,DLiSA-0.5,4,3.92 (1.069)
deepfield.tar,DLiSA-0.6,3,3.844 (0.961)
deepfield.tar,DLiSA-0.7,4,4.081 (1.186)
deepfield.tar,DLiSA-0.8,4,4.363 (1.277)
deepfield.tar,DLiSA-0.9,4,4.668 (1.361)
enwik8.tar,DLiSA-0.0,3,11.426 (3.145)
enwik8.tar,DLiSA-0.1,3,11.276 (3.039)
enwik8.tar,DLiSA-0.2,1,11.201 (3.159)
enwik8.tar,DLiSA-0.3,1,11.102 (2.73)
enwik8.tar,DLiSA-0.4,3,11.402 (3.127)
enwik8.tar,DLiSA-0.5,2,11.256 (3.351)
enwik8.tar,DLiSA-0.6,3,11.463 (3.371)
enwik8.tar,DLiSA-0.7,3,12.116 (3.415)
enwik8.tar,DLiSA-0.8,3,13.038 (4.155)
enwik8.tar,DLiSA-0.9,3,13.061 (3.954)
fannie_mae_500k.tar,DLiSA-0.0,3,11.362 (3.394)
fannie_mae_500k.tar,DLiSA-0.1,3,11.485 (3.277)
fannie_mae_500k.tar,DLiSA-0.2,3,11.712 (3.516)
fannie_mae_500k.tar,DLiSA-0.3,3,11.702 (3.297)
fannie_mae_500k.tar,DLiSA-0.4,1,11.196 (3.249)
fannie_mae_500k.tar,DLiSA-0.5,3,11.499 (3.356)
fannie_mae_500k.tar,DLiSA-0.6,2,11.227 (3.13)
fannie_mae_500k.tar,DLiSA-0.7,3,11.814 (3.279)
fannie_mae_500k.tar,DLiSA-0.8,3,13.398 (4.074)
fannie_mae_500k.tar,DLiSA-0.9,3,14.681 (4.209)
large.tar,DLiSA-0.0,2,1.654 (0.456)
large.tar,DLiSA-0.1,3,1.668 (0.396)
large.tar,DLiSA-0.2,3,1.681 (0.445)
large.tar,DLiSA-0.3,1,1.638 (0.375)
large.tar,DLiSA-0.4,3,1.669 (0.437)
large.tar,DLiSA-0.5,1,1.648 (0.434)
large.tar,DLiSA-0.6,3,1.67 (0.483)
large.tar,DLiSA-0.7,3,1.859 (0.536)
large.tar,DLiSA-0.8,3,1.987 (0.589)
large.tar,DLiSA-0.9,3,2.019 (0.566)
misc.tar,DLiSA-0.0,1,0.195 (0.015)
misc.tar,DLiSA-0.1,1,0.195 (0.013)
misc.tar,DLiSA-0.2,3,0.197 (0.015)
misc.tar,DLiSA-0.3,2,0.196 (0.015)
misc.tar,DLiSA-0.4,3,0.197 (0.015)
misc.tar,DLiSA-0.5,3,0.199 (0.018)
misc.tar,DLiSA-0.6,2,0.196 (0.014)
misc.tar,DLiSA-0.7,3,0.2 (0.018)
misc.tar,DLiSA-0.8,3,0.208 (0.023)
misc.tar,DLiSA-0.9,3,0.21 (0.02)
silesia.tar,DLiSA-0.0,3,24.229 (6.368)
silesia.tar,DLiSA-0.1,3,24.342 (6.425)
silesia.tar,DLiSA-0.2,3,24.291 (6.45)
silesia.tar,DLiSA-0.3,1,23.789 (5.998)
silesia.tar,DLiSA-0.4,2,24.11 (5.8)
silesia.tar,DLiSA-0.5,1,23.805 (6.326)
silesia.tar,DLiSA-0.6,3,24.2 (6.621)
silesia.tar,DLiSA-0.7,3,25.246 (6.966)
silesia.tar,DLiSA-0.8,3,28.434 (8.115)
silesia.tar,DLiSA-0.9,3,29.39 (9.015)
uiq-32.bin,DLiSA-0.0,3,22.026 (6.33)
uiq-32.bin,DLiSA-0.1,4,22.087 (5.35)
uiq-32.bin,DLiSA-0.2,4,22.049 (5.73)
uiq-32.bin,DLiSA-0.3,1,21.324 (5.188)
uiq-32.bin,DLiSA-0.4,2,21.923 (5.34)
uiq-32.bin,DLiSA-0.5,2,21.657 (5.852)
uiq-32.bin,DLiSA-0.6,4,22.738 (6.584)
uiq-32.bin,DLiSA-0.7,4,24.787 (7.277)
uiq-32.bin,DLiSA-0.8,4,25.411 (7.484)
uiq-32.bin,DLiSA-0.9,4,26.868 (8.095)
uiq2-16.bin,DLiSA-0.0,2,10.914 (3.105)
uiq2-16.bin,DLiSA-0.1,4,11.308 (3.147)
uiq2-16.bin,DLiSA-0.2,4,11.099 (2.963)
uiq2-16.bin,DLiSA-0.3,1,10.605 (2.606)
uiq2-16.bin,DLiSA-0.4,3,11.013 (2.976)
