Workload,Algorithm,r,Mean (Std)
uiq2-16.bin,DLiSA-0.5,4,11.155 (3.278)
uiq2-16.bin,DLiSA-0.6,4,11.135 (3.094)
uiq2-16.bin,DLiSA-0.7,4,11.898 (3.531)
uiq2-16.bin,DLiSA-0.8,5,13.588 (3.821)
uiq2-16.bin,DLiSA-0.9,4,12.612 (3.485)
uiq2-4.bin,DLiSA-0.0,3,2.842 (0.781)
uiq2-4.bin,DLiSA-0.1,3,2.849 (0.755)
uiq2-4.bin,DLiSA-0.2,1,2.76 (0.7)
uiq2-4.bin,DLiSA-0.3,1,2.804 (0.775)
uiq2-4.bin,DLiSA-0.4,4,2.886 (0.721)
uiq2-4.bin,DLiSA-0.5,2,2.841 (0.832)
uiq2-4.bin,DLiSA-0.6,4,2.953 (0.879)
uiq2-4.bin,DLiSA-0.7,4,3.046 (0.87)
uiq2-4.bin,DLiSA-0.8,4,3.26 (0.957)
uiq2-4.bin,DLiSA-0.9,4,3.238 (1.016)
uiq2-8.bin,DLiSA-0.0,2,5.43 (1.547)
uiq2-8.bin,DLiSA-0.1,3,5.524 (1.324)
uiq2-8.bin,DLiSA-0.2,3,5.466 (1.413)
uiq2-8.bin,DLiSA-0.3,1,5.341 (1.318)
uiq2-8.bin,DLiSA-0.4,3,5.445 (1.276)
uiq2-8.bin,DLiSA-0.5,1,5.401 (1.464)
uiq2-8.bin,DLiSA-0.6,3,5.483 (1.459)
uiq2-8.bin,DLiSA-0.7,3,5.746 (1.539)
uiq2-8.bin,DLiSA-0.8,3,6.271 (1.797)
uiq2-8.bin,DLiSA-0.9,3,6.494 (1.868)
vmlinux-5.10.tar,DLiSA-0.0,4,3.079 (0.812)
vmlinux-5.10.tar,DLiSA-0.1,2,3.016 (0.784)
vmlinux-5.10.tar,DLiSA-0.2,4,3.12 (0.872)
vmlinux-5.10.tar,DLiSA-0.3,1,2.939 (0.721)
vmlinux-5.10.tar,DLiSA-0.4,3,3.042 (0.789)
vmlinux-5.10.tar,DLiSA-0.5,3,3.023 (0.825)
vmlinux-5.10.tar,DLiSA-0.6,2,3.002 (0.787)
vmlinux-5.10.tar,DLiSA-0.7,4,3.322 (0.964)
vmlinux-5.10.tar,DLiSA-0.8,4,3.447 (1.07)
vmlinux-5.10.tar,DLiSA-0.9,4,3.775 (1.079)
