Workload,Algorithm,r,Mean (Std)
png-medium,DLiSA-0.7,5,0.514 (0.018)
png-medium,DLiSA-0.8,5,0.518 (0.018)
png-medium,DLiSA-0.9,5,0.522 (0.026)
png-small,DLiSA-0.0,3,0.377 (0.008)
png-small,DLiSA-0.1,2,0.376 (0.01)
png-small,DLiSA-0.2,1,0.376 (0.01)
png-small,DLiSA-0.3,1,0.376 (0.011)
png-small,DLiSA-0.4,1,0.375 (0.01)
png-small,DLiSA-0.5,3,0.377 (0.012)
png-small,DLiSA-0.6,4,0.38 (0.012)
png-small,DLiSA-0.7,4,0.389 (0.013)
png-small,DLiSA-0.8,4,0.389 (0.013)
png-small,DLiSA-0.9,4,0.389 (0.011)
psd-large,DLiSA-0.0,2,17.266 (2.658)
psd-large,DLiSA-0.1,1,17.194 (2.58)
psd-large,DLiSA-0.2,2,17.267 (2.658)
psd-large,DLiSA-0.3,3,17.366 (2.734)
psd-large,DLiSA-0.4,1,16.955 (2.298)
psd-large,DLiSA-0.5,3,17.348 (2.73)
psd-large,DLiSA-0.6,3,17.708 (3.046)
psd-large,DLiSA-0.7,3,17.927 (3.349)
psd-large,DLiSA-0.8,3,18.48 (3.641)
psd-large,DLiSA-0.9,3,18.157 (3.479)
psd-medium,DLiSA-0.0,1,1.027 (0.023)
psd-medium,DLiSA-0.1,4,1.033 (0.028)
psd-medium,DLiSA-0.2,3,1.029 (0.025)
psd-medium,DLiSA-0.3,4,1.032 (0.027)
psd-medium,DLiSA-0.4,1,1.028 (0.023)
psd-medium,DLiSA-0.5,2,1.029 (0.023)
psd-medium,DLiSA-0.6,5,1.04 (0.032)
psd-medium,DLiSA-0.7,5,1.054 (0.038)
psd-medium,DLiSA-0.8,5,1.063 (0.038)
psd-medium,DLiSA-0.9,5,1.061 (0.038)
psd-small,DLiSA-0.0,2,0.472 (0.015)
psd-small,DLiSA-0.1,1,0.472 (0.015)
psd-small,DLiSA-0.2,2,0.472 (0.014)
psd-small,DLiSA-0.3,4,0.473 (0.014)
psd-small,DLiSA-0.4,4,0.473 (0.015)
psd-small,DLiSA-0.5,3,0.472 (0.015)
psd-small,DLiSA-0.6,4,0.479 (0.018)
psd-small,DLiSA-0.7,4,0.489 (0.017)
psd-small,DLiSA-0.8,4,0.492 (0.018)
psd-small,DLiSA-0.9,4,0.486 (0.015)
svg-large,DLiSA-0.0,1,1.438 (0.008)
svg-large,DLiSA-0.1,3,1.438 (0.009)
svg-large,DLiSA-0.2,1,1.438 (0.008)
svg-large,DLiSA-0.3,2,1.438 (0.009)
svg-large,DLiSA-0.4,3,1.439 (0.008)
svg-large,DLiSA-0.5,4,1.44 (0.009)
svg-large,DLiSA-0.6,3,1.44 (0.009)
svg-large,DLiSA-0.7,4,1.441 (0.009)
svg-large,DLiSA-0.8,4,1.444 (0.011)
svg-large,DLiSA-0.9,4,1.443 (0.009)
svg-medium,DLiSA-0.0,2,1.444 (0.019)
svg-medium,DLiSA-0.1,1,1.441 (0.02)
svg-medium,DLiSA-0.2,3,1.444 (0.019)
svg-medium,DLiSA-0.3,3,1.444 (0.019)
svg-medium,DLiSA-0.4,3,1.444 (0.018)
svg-medium,DLiSA-0.5,1,1.443 (0.02)
svg-medium,DLiSA-0.6,3,1.446 (0.022)
svg-medium,DLiSA-0.7,3,1.453 (0.022)
svg-medium,DLiSA-0.8,4,1.461 (0.02)
svg-medium,DLiSA-0.9,3,1.46 (0.02)
svg-small,DLiSA-0.0,1,0.485 (0.008)
svg-small,DLiSA-0.1,2,0.486 (0.008)
svg-small,DLiSA-0.2,2,0.486 (0.008)
svg-small,DLiSA-0.3,3,0.487 (0.007)
svg-small,DLiSA-0.4,1,0.485 (0.007)
svg-small,DLiSA-0.5,3,0.487 (0.008)
svg-small,DLiSA-0.6,3,0.487 (0.01)
svg-small,DLiSA-0.7,3,0.488 (0.009)
svg-small,DLiSA-0.8,4,0.49 (0.009)
svg-small,DLiSA-0.9,4,0.492 (0.012)
