Workload,Algorithm,r,Mean (Std)
jpeg-large,DLiSA-0.0,2,1.85 (0.1)
jpeg-large,DLiSA-0.1,4,1.856 (0.108)
jpeg-large,DLiSA-0.2,4,1.856 (0.107)
jpeg-large,DLiSA-0.3,2,1.849 (0.105)
jpeg-large,DLiSA-0.4,1,1.846 (0.102)
jpeg-large,DLiSA-0.5,3,1.852 (0.108)
jpeg-large,DLiSA-0.6,4,1.903 (0.14)
jpeg-large,DLiSA-0.7,4,1.935 (0.149)
jpeg-large,DLiSA-0.8,4,1.96 (0.167)
jpeg-large,DLiSA-0.9,4,1.926 (0.131)
jpeg-medium,DLiSA-0.0,4,1.117 (0.055)
jpeg-medium,DLiSA-0.1,3,1.117 (0.055)
jpeg-medium,DLiSA-0.2,4,1.117 (0.056)
jpeg-medium,DLiSA-0.3,1,1.115 (0.049)
jpeg-medium,DLiSA-0.4,1,1.106 (0.047)
jpeg-medium,DLiSA-0.5,2,1.117 (0.047)
jpeg-medium,DLiSA-0.6,4,1.14 (0.067)
jpeg-medium,DLiSA-0.7,4,1.156 (0.069)
jpeg-medium,DLiSA-0.8,4,1.175 (0.082)
jpeg-medium,DLiSA-0.9,5,1.18 (0.09)
jpeg-small,DLiSA-0.0,3,0.376 (0.007)
jpeg-small,DLiSA-0.1,2,0.375 (0.007)
jpeg-small,DLiSA-0.2,1,0.375 (0.007)
jpeg-small,DLiSA-0.3,1,0.375 (0.008)
jpeg-small,DLiSA-0.4,3,0.375 (0.007)
jpeg-small,DLiSA-0.5,1,0.375 (0.007)
jpeg-small,DLiSA-0.6,3,0.377 (0.009)
jpeg-small,DLiSA-0.7,3,0.381 (0.01)
jpeg-small,DLiSA-0.8,3,0.382 (0.007)
jpeg-small,DLiSA-0.9,3,0.382 (0.008)
png-large,DLiSA-0.0,2,1.6 (0.061)
png-large,DLiSA-0.1,3,1.602 (0.066)
png-large,DLiSA-0.2,1,1.596 (0.06)
png-large,DLiSA-0.3,3,1.605 (0.067)
png-large,DLiSA-0.4,1,1.59 (0.055)
png-large,DLiSA-0.5,1,1.599 (0.067)
png-large,DLiSA-0.6,3,1.626 (0.089)
png-large,DLiSA-0.7,3,1.658 (0.096)
png-large,DLiSA-0.8,4,1.672 (0.112)
png-large,DLiSA-0.9,4,1.668 (0.093)
png-medium,DLiSA-0.0,3,0.502 (0.016)
png-medium,DLiSA-0.1,5,0.504 (0.017)
png-medium,DLiSA-0.2,2,0.502 (0.017)
png-medium,DLiSA-0.3,5,0.503 (0.019)
png-medium,DLiSA-0.4,1,0.502 (0.015)
png-medium,DLiSA-0.5,4,0.503 (0.015)
png-medium,DLiSA-0.6,5,0.508 (0.019)
