Workload,Algorithm,r,Mean (Std)
ambivert.wav.tar,DLiSA-0.0,2,3.136 (0.041)
ambivert.wav.tar,DLiSA-0.1,1,3.134 (0.033)
ambivert.wav.tar,DLiSA-0.2,2,3.136 (0.03)
ambivert.wav.tar,DLiSA-0.3,2,3.135 (0.035)
ambivert.wav.tar,DLiSA-0.4,2,3.134 (0.029)
ambivert.wav.tar,DLiSA-0.5,2,3.137 (0.046)
ambivert.wav.tar,DLiSA-0.6,2,3.134 (0.034)
ambivert.wav.tar,DLiSA-0.7,2,3.134 (0.03)
ambivert.wav.tar,DLiSA-0.8,2,3.143 (0.059)
ambivert.wav.tar,DLiSA-0.9,2,3.183 (0.105)
artificl.tar,DLiSA-0.0,2,0.03 (0.0)
artificl.tar,DLiSA-0.1,2,0.03 (0.0)
artificl.tar,DLiSA-0.2,2,0.03 (0.0)
artificl.tar,DLiSA-0.3,2,0.03 (0.0)
artificl.tar,DLiSA-0.4,2,0.03 (0.0)
artificl.tar,DLiSA-0.5,2,0.03 (0.0)
artificl.tar,DLiSA-0.6,2,0.03 (0.0)
artificl.tar,DLiSA-0.7,1,0.03 (0.0)
artificl.tar,DLiSA-0.8,2,0.03 (0.0)
artificl.tar,DLiSA-0.9,2,0.03 (0.002)
deepfield.tar,DLiSA-0.0,3,3.309 (0.02)
deepfield.tar,DLiSA-0.1,3,3.307 (0.015)
deepfield.tar,DLiSA-0.2,3,3.307 (0.017)
deepfield.tar,DLiSA-0.3,2,3.305 (0.014)
deepfield.tar,DLiSA-0.4,1,3.305 (0.011)
deepfield.tar,DLiSA-0.5,3,3.308 (0.019)
deepfield.tar,DLiSA-0.6,2,3.306 (0.014)
deepfield.tar,DLiSA-0.7,2,3.306 (0.012)
deepfield.tar,DLiSA-0.8,3,3.309 (0.019)
deepfield.tar,DLiSA-0.9,3,3.324 (0.031)
enwik8.tar,DLiSA-0.0,2,7.164 (0.03)
enwik8.tar,DLiSA-0.1,2,7.162 (0.06)
enwik8.tar,DLiSA-0.2,2,7.168 (0.089)
enwik8.tar,DLiSA-0.3,2,7.159 (0.032)
enwik8.tar,DLiSA-0.4,2,7.161 (0.05)
enwik8.tar,DLiSA-0.5,1,7.158 (0.045)
enwik8.tar,DLiSA-0.6,2,7.162 (0.052)
enwik8.tar,DLiSA-0.7,2,7.163 (0.054)
enwik8.tar,DLiSA-0.8,2,7.16 (0.044)
enwik8.tar,DLiSA-0.9,2,7.244 (0.204)
fannie_mae_500k.tar,DLiSA-0.0,1,33.397 (0.017)
fannie_mae_500k.tar,DLiSA-0.1,4,33.429 (0.181)
fannie_mae_500k.tar,DLiSA-0.2,3,33.41 (0.106)
fannie_mae_500k.tar,DLiSA-0.3,4,33.421 (0.15)
fannie_mae_500k.tar,DLiSA-0.4,3,33.417 (0.15)
fannie_mae_500k.tar,DLiSA-0.5,3,33.408 (0.107)
fannie_mae_500k.tar,DLiSA-0.6,2,33.408 (0.112)
fannie_mae_500k.tar,DLiSA-0.7,2,33.401 (0.018)
fannie_mae_500k.tar,DLiSA-0.8,2,33.4 (0.022)
fannie_mae_500k.tar,DLiSA-0.9,5,33.57 (0.375)
large.tar,DLiSA-0.0,3,0.972 (0.006)
large.tar,DLiSA-0.1,1,0.971 (0.003)
large.tar,DLiSA-0.2,2,0.971 (0.003)
large.tar,DLiSA-0.3,2,0.971 (0.003)
large.tar,DLiSA-0.4,3,0.972 (0.005)
large.tar,DLiSA-0.5,2,0.971 (0.004)
large.tar,DLiSA-0.6,2,0.972 (0.004)
large.tar,DLiSA-0.7,2,0.972 (0.005)
large.tar,DLiSA-0.8,3,0.972 (0.006)
large.tar,DLiSA-0.9,3,0.978 (0.01)
misc.tar,DLiSA-0.0,2,0.192 (0.004)
misc.tar,DLiSA-0.1,1,0.192 (0.004)
misc.tar,DLiSA-0.2,2,0.192 (0.004)
misc.tar,DLiSA-0.3,2,0.192 (0.004)
misc.tar,DLiSA-0.4,3,0.193 (0.004)
misc.tar,DLiSA-0.5,2,0.192 (0.004)
misc.tar,DLiSA-0.6,3,0.193 (0.005)
misc.tar,DLiSA-0.7,2,0.193 (0.004)
misc.tar,DLiSA-0.8,3,0.193 (0.005)
misc.tar,DLiSA-0.9,3,0.198 (0.005)
silesia.tar,DLiSA-0.0,3,10.909 (0.022)
