,Workload,Algorithm,r,Mean (Std)
0,corona,DLiSA-0.0,3,0.909 (0.015)
1,corona,DLiSA-0.1,2,0.908 (0.015)
2,corona,DLiSA-0.2,3,0.91 (0.015)
3,corona,DLiSA-0.3,1,0.907 (0.014)
4,corona,DLiSA-0.4,4,0.91 (0.018)
5,corona,DLiSA-0.5,4,0.914 (0.025)
6,corona,DLiSA-0.6,4,0.911 (0.021)
7,corona,DLiSA-0.7,4,0.913 (0.023)
8,corona,DLiSA-0.8,5,0.935 (0.041)
9,corona,DLiSA-0.9,5,0.944 (0.048)
10,cranium,DLiSA-0.0,3,1.341 (0.029)
11,cranium,DLiSA-0.1,3,1.339 (0.016)
12,cranium,DLiSA-0.2,4,1.341 (0.029)
13,cranium,DLiSA-0.3,1,1.338 (0.019)
14,cranium,DLiSA-0.4,2,1.338 (0.015)
15,cranium,DLiSA-0.5,3,1.339 (0.014)
16,cranium,DLiSA-0.6,3,1.34 (0.017)
17,cranium,DLiSA-0.7,4,1.342 (0.018)
18,cranium,DLiSA-0.8,4,1.366 (0.036)
19,cranium,DLiSA-0.9,4,1.381 (0.044)
20,cubus,DLiSA-0.0,1,4.197 (0.034)
21,cubus,DLiSA-0.1,2,4.2 (0.039)
22,cubus,DLiSA-0.2,3,4.206 (0.083)
23,cubus,DLiSA-0.3,1,4.196 (0.056)
24,cubus,DLiSA-0.4,3,4.2 (0.049)
25,cubus,DLiSA-0.5,3,4.201 (0.039)
26,cubus,DLiSA-0.6,3,4.205 (0.073)
27,cubus,DLiSA-0.7,3,4.217 (0.083)
28,cubus,DLiSA-0.8,3,4.282 (0.148)
29,cubus,DLiSA-0.9,3,4.281 (0.096)
30,flame,DLiSA-0.0,4,1.195 (0.021)
31,flame,DLiSA-0.1,1,1.19 (0.023)
32,flame,DLiSA-0.2,3,1.193 (0.023)
33,flame,DLiSA-0.3,3,1.193 (0.026)
34,flame,DLiSA-0.4,4,1.197 (0.021)
35,flame,DLiSA-0.5,2,1.192 (0.021)
36,flame,DLiSA-0.6,3,1.193 (0.02)
37,flame,DLiSA-0.7,4,1.199 (0.025)
38,flame,DLiSA-0.8,4,1.22 (0.02)
39,flame,DLiSA-0.9,4,1.226 (0.022)
40,france,DLiSA-0.0,2,2.408 (0.039)
41,france,DLiSA-0.1,3,2.409 (0.036)
42,france,DLiSA-0.2,3,2.409 (0.041)
43,france,DLiSA-0.3,1,2.404 (0.036)
44,france,DLiSA-0.4,4,2.411 (0.041)
45,france,DLiSA-0.5,4,2.411 (0.038)
46,france,DLiSA-0.6,4,2.416 (0.054)
47,france,DLiSA-0.7,4,2.423 (0.053)
48,france,DLiSA-0.8,4,2.468 (0.064)
49,france,DLiSA-0.9,4,2.486 (0.068)
50,frisco,DLiSA-0.0,1,3.15 (0.042)
51,frisco,DLiSA-0.1,2,3.153 (0.039)
52,frisco,DLiSA-0.2,2,3.153 (0.033)
53,frisco,DLiSA-0.3,1,3.152 (0.042)
54,frisco,DLiSA-0.4,3,3.17 (0.073)
55,frisco,DLiSA-0.5,2,3.166 (0.07)
56,frisco,DLiSA-0.6,2,3.163 (0.065)
57,frisco,DLiSA-0.7,3,3.171 (0.075)
58,frisco,DLiSA-0.8,3,3.274 (0.17)
59,frisco,DLiSA-0.9,3,3.293 (0.127)
60,jelly,DLiSA-0.0,2,1.136 (0.015)
61,jelly,DLiSA-0.1,2,1.137 (0.016)
62,jelly,DLiSA-0.2,3,1.138 (0.019)
63,jelly,DLiSA-0.3,3,1.137 (0.016)
64,jelly,DLiSA-0.4,1,1.136 (0.012)
65,jelly,DLiSA-0.5,3,1.137 (0.019)
66,jelly,DLiSA-0.6,1,1.136 (0.012)
67,jelly,DLiSA-0.7,3,1.14 (0.021)
68,jelly,DLiSA-0.8,3,1.158 (0.026)
69,jelly,DLiSA-0.9,3,1.162 (0.029)
70,karte,DLiSA-0.0,2,7.077 (0.067)
71,karte,DLiSA-0.1,1,7.077 (0.07)
72,karte,DLiSA-0.2,3,7.089 (0.119)
73,karte,DLiSA-0.3,1,7.076 (0.077)
74,karte,DLiSA-0.4,3,7.081 (0.096)
75,karte,DLiSA-0.5,3,7.088 (0.105)
76,karte,DLiSA-0.6,3,7.091 (0.126)
77,karte,DLiSA-0.7,3,7.109 (0.147)
78,karte,DLiSA-0.8,3,7.226 (0.21)
79,karte,DLiSA-0.9,3,7.222 (0.15)
80,mandelbrot,DLiSA-0.0,3,1.048 (0.013)
81,mandelbrot,DLiSA-0.1,3,1.05 (0.012)
82,mandelbrot,DLiSA-0.2,3,1.05 (0.015)
83,mandelbrot,DLiSA-0.3,4,1.051 (0.014)
84,mandelbrot,DLiSA-0.4,3,1.049 (0.011)
85,mandelbrot,DLiSA-0.5,1,1.047 (0.011)
86,mandelbrot,DLiSA-0.6,2,1.048 (0.011)
87,mandelbrot,DLiSA-0.7,4,1.051 (0.016)
88,mandelbrot,DLiSA-0.8,4,1.063 (0.019)
89,mandelbrot,DLiSA-0.9,4,1.069 (0.022)
90,strawberry,DLiSA-0.0,4,1.12 (0.029)
