Workload,Algorithm,r,Mean (Std)
AUFNIRA_z3.637557.smt2,DLiSA-0.0,1,5.856 (0.011)
AUFNIRA_z3.637557.smt2,DLiSA-0.1,1,5.858 (0.014)
AUFNIRA_z3.637557.smt2,DLiSA-0.2,3,5.868 (0.123)
AUFNIRA_z3.637557.smt2,DLiSA-0.3,1,5.856 (0.011)
AUFNIRA_z3.637557.smt2,DLiSA-0.4,1,5.857 (0.011)
AUFNIRA_z3.637557.smt2,DLiSA-0.5,2,5.858 (0.012)
AUFNIRA_z3.637557.smt2,DLiSA-0.6,3,5.862 (0.014)
AUFNIRA_z3.637557.smt2,DLiSA-0.7,3,5.864 (0.017)
AUFNIRA_z3.637557.smt2,DLiSA-0.8,3,5.865 (0.015)
AUFNIRA_z3.637557.smt2,DLiSA-0.9,3,5.877 (0.122)
LRA_formula_277.smt2,DLiSA-0.0,5,2.327 (0.654)
LRA_formula_277.smt2,DLiSA-0.1,5,2.291 (0.575)
LRA_formula_277.smt2,DLiSA-0.2,2,2.254 (0.608)
LRA_formula_277.smt2,DLiSA-0.3,3,2.254 (0.608)
LRA_formula_277.smt2,DLiSA-0.4,4,2.271 (0.607)
LRA_formula_277.smt2,DLiSA-0.5,2,2.197 (0.55)
LRA_formula_277.smt2,DLiSA-0.6,2,1.998 (0.436)
LRA_formula_277.smt2,DLiSA-0.7,1,1.788 (0.152)
LRA_formula_277.smt2,DLiSA-0.8,1,1.761 (0.004)
LRA_formula_277.smt2,DLiSA-0.9,1,1.762 (0.007)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.0,1,0.305 (0.743)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.1,1,0.258 (0.5)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.2,1,0.41 (0.878)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.3,1,0.364 (0.66)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.4,1,0.295 (0.542)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.5,1,0.43 (0.704)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.6,2,0.442 (0.777)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.7,2,0.502 (0.789)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.8,2,0.512 (0.776)
QF_AUFBV_891_sqlite3.smt2,DLiSA-0.9,2,0.576 (1.055)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.0,1,2.303 (0.108)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.1,1,2.309 (0.119)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.2,1,2.289 (0.078)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.3,2,2.324 (0.15)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.4,3,2.352 (0.185)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.5,2,2.343 (0.223)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.6,1,2.315 (0.131)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.7,2,2.348 (0.178)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.8,2,2.318 (0.13)
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.9,3,2.378 (0.342)
QF_BV_bench_3176.smt2,DLiSA-0.0,2,3.186 (0.352)
QF_BV_bench_3176.smt2,DLiSA-0.1,2,3.164 (0.159)
QF_BV_bench_3176.smt2,DLiSA-0.2,1,3.145 (0.046)
QF_BV_bench_3176.smt2,DLiSA-0.3,1,3.15 (0.111)
QF_BV_bench_3176.smt2,DLiSA-0.4,2,3.161 (0.124)
QF_BV_bench_3176.smt2,DLiSA-0.5,3,3.229 (0.373)
QF_BV_bench_3176.smt2,DLiSA-0.6,3,3.238 (0.368)
QF_BV_bench_3176.smt2,DLiSA-0.7,3,3.329 (0.606)
QF_BV_bench_3176.smt2,DLiSA-0.8,3,3.321 (0.446)
QF_BV_bench_3176.smt2,DLiSA-0.9,3,3.273 (0.297)
QF_BV_bench_935.smt2,DLiSA-0.0,3,1.323 (0.122)
QF_BV_bench_935.smt2,DLiSA-0.1,2,1.322 (0.129)
QF_BV_bench_935.smt2,DLiSA-0.2,3,1.328 (0.125)
QF_BV_bench_935.smt2,DLiSA-0.3,2,1.322 (0.13)
QF_BV_bench_935.smt2,DLiSA-0.4,1,1.319 (0.118)
QF_BV_bench_935.smt2,DLiSA-0.5,3,1.332 (0.14)
QF_BV_bench_935.smt2,DLiSA-0.6,3,1.34 (0.171)
QF_BV_bench_935.smt2,DLiSA-0.7,3,1.527 (1.522)
QF_BV_bench_935.smt2,DLiSA-0.8,3,1.373 (0.193)
QF_BV_bench_935.smt2,DLiSA-0.9,3,1.409 (0.331)
QF_LIA_tightrhombus,DLiSA-0.0,1,0.231 (0.089)
QF_LIA_tightrhombus,DLiSA-0.1,3,0.261 (0.253)
QF_LIA_tightrhombus,DLiSA-0.2,2,0.248 (0.152)
QF_LIA_tightrhombus,DLiSA-0.3,3,0.292 (0.458)
QF_LIA_tightrhombus,DLiSA-0.4,1,0.232 (0.09)
QF_LIA_tightrhombus,DLiSA-0.5,2,0.24 (0.126)
QF_LIA_tightrhombus,DLiSA-0.6,3,0.319 (0.479)
QF_LIA_tightrhombus,DLiSA-0.7,2,0.25 (0.151)
QF_LIA_tightrhombus,DLiSA-0.8,2,0.233 (0.09)
QF_LIA_tightrhombus,DLiSA-0.9,3,0.262 (0.175)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.0,1,8.746 (0.005)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.1,3,8.806 (0.591)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.2,2,8.747 (0.014)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.3,1,8.746 (0.005)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.4,2,8.747 (0.014)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.5,1,8.746 (0.005)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.6,2,8.748 (0.004)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.7,3,8.809 (0.59)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.8,2,8.748 (0.004)
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.9,3,8.808 (0.59)
QF_NRA_hong_9.smt2,DLiSA-0.0,1,3.181 (0.003)
QF_NRA_hong_9.smt2,DLiSA-0.1,1,3.181 (0.003)
QF_NRA_hong_9.smt2,DLiSA-0.2,3,3.182 (0.004)
QF_NRA_hong_9.smt2,DLiSA-0.3,2,3.181 (0.003)
QF_NRA_hong_9.smt2,DLiSA-0.4,1,3.181 (0.002)
QF_NRA_hong_9.smt2,DLiSA-0.5,3,3.182 (0.004)
QF_NRA_hong_9.smt2,DLiSA-0.6,4,3.183 (0.004)
QF_NRA_hong_9.smt2,DLiSA-0.7,4,3.184 (0.005)
QF_NRA_hong_9.smt2,DLiSA-0.8,4,3.184 (0.005)
QF_NRA_hong_9.smt2,DLiSA-0.9,5,3.184 (0.005)
QF_RDL_orb08_888.smt2,DLiSA-0.0,2,6.861 (0.25)
QF_RDL_orb08_888.smt2,DLiSA-0.1,3,6.867 (0.252)
QF_RDL_orb08_888.smt2,DLiSA-0.2,1,6.852 (0.243)
QF_RDL_orb08_888.smt2,DLiSA-0.3,1,6.816 (0.236)
QF_RDL_orb08_888.smt2,DLiSA-0.4,1,6.858 (0.25)
QF_RDL_orb08_888.smt2,DLiSA-0.5,2,6.864 (0.252)
QF_RDL_orb08_888.smt2,DLiSA-0.6,1,6.827 (0.25)
QF_RDL_orb08_888.smt2,DLiSA-0.7,2,6.863 (0.275)
QF_RDL_orb08_888.smt2,DLiSA-0.8,1,6.815 (0.242)
QF_RDL_orb08_888.smt2,DLiSA-0.9,1,6.755 (0.195)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.0,1,7.938 (0.574)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.1,2,8.024 (0.63)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.2,2,7.997 (0.605)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.3,1,7.948 (0.654)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.4,1,7.969 (0.533)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.5,2,8.06 (0.883)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.6,2,8.065 (0.735)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.7,2,8.188 (0.895)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.8,2,8.222 (1.28)
QF_UFLIA_xs_23_43.smt2,DLiSA-0.9,2,8.17 (1.242)
QF_UF_PEQ018_size6.smt2,DLiSA-0.0,1,3.883 (0.041)
QF_UF_PEQ018_size6.smt2,DLiSA-0.1,1,3.879 (0.011)
QF_UF_PEQ018_size6.smt2,DLiSA-0.2,3,3.942 (0.597)
QF_UF_PEQ018_size6.smt2,DLiSA-0.3,1,3.878 (0.009)
QF_UF_PEQ018_size6.smt2,DLiSA-0.4,1,3.888 (0.06)
QF_UF_PEQ018_size6.smt2,DLiSA-0.5,1,3.884 (0.044)
QF_UF_PEQ018_size6.smt2,DLiSA-0.6,2,3.908 (0.156)
QF_UF_PEQ018_size6.smt2,DLiSA-0.7,2,3.926 (0.174)
QF_UF_PEQ018_size6.smt2,DLiSA-0.8,2,3.912 (0.101)
QF_UF_PEQ018_size6.smt2,DLiSA-0.9,3,3.94 (0.221)
