Workload,Algorithm,r,Mean (Std)
Johnny_1280x720_60_short.y4m,DLiSA-0.0,2,0.875 (0.122)
Johnny_1280x720_60_short.y4m,DLiSA-0.1,2,0.883 (0.115)
Johnny_1280x720_60_short.y4m,DLiSA-0.2,2,0.885 (0.119)
Johnny_1280x720_60_short.y4m,DLiSA-0.3,2,0.89 (0.14)
Johnny_1280x720_60_short.y4m,DLiSA-0.4,2,0.881 (0.128)
Johnny_1280x720_60_short.y4m,DLiSA-0.5,2,0.884 (0.12)
Johnny_1280x720_60_short.y4m,DLiSA-0.6,2,0.875 (0.149)
Johnny_1280x720_60_short.y4m,DLiSA-0.7,1,0.866 (0.113)
Johnny_1280x720_60_short.y4m,DLiSA-0.8,2,0.888 (0.155)
Johnny_1280x720_60_short.y4m,DLiSA-0.9,2,0.945 (0.209)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.0,3,3.514 (0.588)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.1,3,3.504 (0.559)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.2,2,3.503 (0.535)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.3,3,3.59 (0.567)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.4,3,3.505 (0.57)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.5,3,3.511 (0.527)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.6,1,3.47 (0.591)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.7,3,3.535 (0.67)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.8,3,3.535 (0.615)
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.9,3,3.702 (0.835)
blue_sky_1080p25_short.y4m,DLiSA-0.0,2,1.282 (0.268)
