Workload,Algorithm,r,Mean (Std)
smallbank-1,DLiSA-0.0,1,26701.455 (689.069)
smallbank-1,DLiSA-0.1,1,26748.557 (506.472)
smallbank-1,DLiSA-0.2,1,26674.874 (844.736)
smallbank-1,DLiSA-0.3,1,26721.45 (705.601)
smallbank-1,DLiSA-0.4,2,26611.386 (1007.921)
smallbank-1,DLiSA-0.5,1,26684.373 (499.903)
smallbank-1,DLiSA-0.6,2,26530.275 (1026.61)
smallbank-1,DLiSA-0.7,3,26311.415 (936.023)
smallbank-1,DLiSA-0.8,4,25977.976 (1525.302)
smallbank-1,DLiSA-0.9,4,25872.882 (1167.582)
smallbank-10,DLiSA-0.0,1,18971.583 (713.335)
smallbank-10,DLiSA-0.1,1,18949.345 (787.242)
smallbank-10,DLiSA-0.2,1,18975.295 (651.774)
smallbank-10,DLiSA-0.3,1,18972.982 (758.262)
smallbank-10,DLiSA-0.4,1,18876.503 (880.688)
smallbank-10,DLiSA-0.5,1,18984.467 (724.479)
smallbank-10,DLiSA-0.6,1,18872.28 (802.613)
smallbank-10,DLiSA-0.7,2,18623.566 (1092.735)
smallbank-10,DLiSA-0.8,3,18315.423 (1093.606)
smallbank-10,DLiSA-0.9,2,18475.402 (688.094)
tpcc-2,DLiSA-0.0,1,954.791 (34.938)
tpcc-2,DLiSA-0.1,1,949.319 (39.165)
tpcc-2,DLiSA-0.2,1,951.978 (38.898)
tpcc-2,DLiSA-0.3,1,948.344 (38.602)
tpcc-2,DLiSA-0.4,1,953.786 (31.121)
tpcc-2,DLiSA-0.5,1,951.922 (33.303)
tpcc-2,DLiSA-0.6,1,949.484 (38.942)
tpcc-2,DLiSA-0.7,2,925.725 (59.912)
tpcc-2,DLiSA-0.8,3,916.267 (51.561)
tpcc-2,DLiSA-0.9,3,908.82 (48.498)
tpcc-8,DLiSA-0.0,2,1033.016 (49.761)
tpcc-8,DLiSA-0.1,1,1041.369 (29.175)
tpcc-8,DLiSA-0.2,2,1033.512 (35.45)
tpcc-8,DLiSA-0.3,2,1032.006 (45.261)
tpcc-8,DLiSA-0.4,2,1031.226 (53.233)
tpcc-8,DLiSA-0.5,2,1031.78 (53.547)
tpcc-8,DLiSA-0.6,3,1013.599 (85.955)
tpcc-8,DLiSA-0.7,4,1004.851 (97.647)
tpcc-8,DLiSA-0.8,5,986.951 (90.273)
tpcc-8,DLiSA-0.9,5,977.149 (86.709)
voter-16,DLiSA-0.0,1,48066.338 (1890.044)
voter-16,DLiSA-0.1,1,48074.036 (1746.974)
voter-16,DLiSA-0.2,1,47887.456 (2509.844)
voter-16,DLiSA-0.3,1,47835.194 (2491.758)
voter-16,DLiSA-0.4,1,47949.43 (2381.896)
voter-16,DLiSA-0.5,1,48062.439 (1777.731)
voter-16,DLiSA-0.6,1,48048.508 (1605.725)
voter-16,DLiSA-0.7,2,47376.052 (2967.577)
voter-16,DLiSA-0.8,2,47265.068 (2914.373)
voter-16,DLiSA-0.9,2,47183.682 (2390.687)
voter-2,DLiSA-0.0,2,48115.179 (2425.179)
voter-2,DLiSA-0.1,2,48226.895 (1615.218)
voter-2,DLiSA-0.2,3,47831.044 (2915.875)
voter-2,DLiSA-0.3,1,48335.083 (488.968)
voter-2,DLiSA-0.4,2,48211.807 (1596.22)
voter-2,DLiSA-0.5,1,48378.074 (498.67)
voter-2,DLiSA-0.6,3,47935.427 (2384.023)
voter-2,DLiSA-0.7,2,48148.075 (667.7)
voter-2,DLiSA-0.8,4,47463.097 (2308.588)
voter-2,DLiSA-0.9,4,47302.822 (2827.066)
ycsb-2400,DLiSA-0.0,1,20191.815 (1307.006)
ycsb-2400,DLiSA-0.1,1,20233.763 (1294.999)
ycsb-2400,DLiSA-0.2,1,20223.912 (1326.437)
ycsb-2400,DLiSA-0.3,1,20037.04 (1584.735)
ycsb-2400,DLiSA-0.4,1,20232.089 (1201.478)
ycsb-2400,DLiSA-0.5,1,20268.749 (1287.655)
ycsb-2400,DLiSA-0.6,2,19867.189 (1716.143)
ycsb-2400,DLiSA-0.7,2,19754.085 (1531.912)
ycsb-2400,DLiSA-0.8,3,19298.506 (1752.603)
ycsb-2400,DLiSA-0.9,4,18430.96 (2025.671)
ycsb-600,DLiSA-0.0,1,28500.206 (1549.54)
ycsb-600,DLiSA-0.1,1,28508.866 (1498.436)
ycsb-600,DLiSA-0.2,1,28486.503 (1606.463)
ycsb-600,DLiSA-0.3,2,28129.89 (1669.565)
ycsb-600,DLiSA-0.4,2,28287.893 (1808.094)
ycsb-600,DLiSA-0.5,2,28195.191 (1790.885)
ycsb-600,DLiSA-0.6,3,27821.419 (2141.203)
ycsb-600,DLiSA-0.7,3,27534.85 (2388.183)
ycsb-600,DLiSA-0.8,4,26887.57 (2260.462)
ycsb-600,DLiSA-0.9,4,26467.008 (2157.117)
