Workload,Algorithm,r,Mean (Std)
ambivert,DLiSA-0.0,1,0.965 (0.899)
ambivert,DLiSA-0.1,2,0.965 (0.92)
ambivert,DLiSA-0.2,2,1.057 (1.003)
ambivert,DLiSA-0.3,2,0.986 (0.866)
ambivert,DLiSA-0.4,1,0.907 (0.789)
ambivert,DLiSA-0.5,2,0.98 (0.833)
ambivert,DLiSA-0.6,2,0.993 (0.96)
ambivert,DLiSA-0.7,2,1.049 (0.923)
ambivert,DLiSA-0.8,2,1.616 (1.516)
ambivert,DLiSA-0.9,2,1.851 (1.503)
artificl,DLiSA-0.0,4,0.131 (0.033)
artificl,DLiSA-0.1,2,0.128 (0.027)
artificl,DLiSA-0.2,4,0.131 (0.031)
artificl,DLiSA-0.3,4,0.131 (0.032)
artificl,DLiSA-0.4,1,0.127 (0.024)
artificl,DLiSA-0.5,4,0.13 (0.025)
artificl,DLiSA-0.6,3,0.129 (0.028)
artificl,DLiSA-0.7,4,0.14 (0.041)
artificl,DLiSA-0.8,4,0.145 (0.041)
artificl,DLiSA-0.9,4,0.164 (0.048)
deepfield,DLiSA-0.0,1,0.285 (0.07)
deepfield,DLiSA-0.1,1,0.289 (0.088)
deepfield,DLiSA-0.2,1,0.29 (0.072)
deepfield,DLiSA-0.3,2,0.308 (0.129)
deepfield,DLiSA-0.4,2,0.32 (0.134)
deepfield,DLiSA-0.5,2,0.314 (0.162)
deepfield,DLiSA-0.6,1,0.303 (0.116)
deepfield,DLiSA-0.7,2,0.316 (0.155)
deepfield,DLiSA-0.8,1,0.297 (0.133)
deepfield,DLiSA-0.9,1,0.303 (0.329)
enwik8,DLiSA-0.0,1,1.107 (0.618)
enwik8,DLiSA-0.1,3,1.164 (0.802)
enwik8,DLiSA-0.2,3,1.205 (0.78)
enwik8,DLiSA-0.3,3,1.173 (0.697)
enwik8,DLiSA-0.4,2,1.113 (0.84)
enwik8,DLiSA-0.5,4,1.307 (1.161)
enwik8,DLiSA-0.6,4,1.326 (1.494)
enwik8,DLiSA-0.7,4,1.467 (1.36)
enwik8,DLiSA-0.8,4,1.702 (1.389)
enwik8,DLiSA-0.9,4,2.313 (1.783)
fannie_mae_500k,DLiSA-0.0,3,0.862 (0.485)
fannie_mae_500k,DLiSA-0.1,2,0.844 (0.491)
fannie_mae_500k,DLiSA-0.2,3,0.917 (0.625)
fannie_mae_500k,DLiSA-0.3,3,0.938 (0.604)
fannie_mae_500k,DLiSA-0.4,1,0.817 (0.463)
fannie_mae_500k,DLiSA-0.5,3,0.97 (0.729)
fannie_mae_500k,DLiSA-0.6,3,0.972 (1.046)
fannie_mae_500k,DLiSA-0.7,4,1.05 (0.731)
fannie_mae_500k,DLiSA-0.8,4,1.472 (1.133)
fannie_mae_500k,DLiSA-0.9,4,1.832 (1.177)
large,DLiSA-0.0,3,0.434 (0.305)
large,DLiSA-0.1,2,0.416 (0.285)
large,DLiSA-0.2,3,0.45 (0.306)
large,DLiSA-0.3,3,0.433 (0.263)
large,DLiSA-0.4,1,0.404 (0.269)
large,DLiSA-0.5,3,0.417 (0.261)
large,DLiSA-0.6,3,0.418 (0.281)
large,DLiSA-0.7,3,0.449 (0.317)
large,DLiSA-0.8,3,0.544 (0.373)
large,DLiSA-0.9,3,0.671 (0.398)
misc,DLiSA-0.0,3,0.168 (0.065)
misc,DLiSA-0.1,3,0.172 (0.074)
misc,DLiSA-0.2,3,0.169 (0.068)
misc,DLiSA-0.3,4,0.177 (0.078)
misc,DLiSA-0.4,2,0.168 (0.073)
misc,DLiSA-0.5,4,0.18 (0.084)
misc,DLiSA-0.6,1,0.164 (0.06)
misc,DLiSA-0.7,4,0.191 (0.086)
misc,DLiSA-0.8,4,0.207 (0.089)
misc,DLiSA-0.9,4,0.24 (0.097)
silesia,DLiSA-0.0,1,2.296 (2.21)
silesia,DLiSA-0.1,3,2.359 (2.081)
silesia,DLiSA-0.2,3,2.469 (1.86)
silesia,DLiSA-0.3,2,2.347 (2.228)
silesia,DLiSA-0.4,1,2.029 (1.694)
silesia,DLiSA-0.5,3,2.75 (2.957)
silesia,DLiSA-0.6,2,2.32 (2.235)
silesia,DLiSA-0.7,3,3.118 (3.119)
silesia,DLiSA-0.8,4,4.549 (4.767)
silesia,DLiSA-0.9,3,3.987 (3.329)
vmlinux,DLiSA-0.0,3,0.717 (0.586)
vmlinux,DLiSA-0.1,3,0.683 (0.517)
vmlinux,DLiSA-0.2,3,0.728 (0.637)
vmlinux,DLiSA-0.3,3,0.709 (0.585)
vmlinux,DLiSA-0.4,1,0.543 (0.259)
vmlinux,DLiSA-0.5,3,0.69 (0.47)
vmlinux,DLiSA-0.6,2,0.61 (0.343)
vmlinux,DLiSA-0.7,3,0.717 (0.503)
vmlinux,DLiSA-0.8,4,0.863 (0.608)
vmlinux,DLiSA-0.9,5,1.238 (0.941)
